Time,Error,Speed,Proportional,Integral,Derivative,ID
2763,349.42,nan,349.42,0,-inf,LEFT
2768,349.42,20,349.42,6.99,0,LEFT
2773,349.42,20,349.42,13.98,0,LEFT
2778,349.42,20,349.42,20.97,0,LEFT
2783,349.42,20,349.42,27.95,0,LEFT
2789,349.42,20,349.42,34.94,0,LEFT
2794,349.42,20,349.42,41.93,0,LEFT
2799,349.42,20,349.42,48.92,0,LEFT
2807,349.42,20,349.42,55.91,0,LEFT
2812,349.42,20,349.42,62.9,0,LEFT
2817,349.42,20,349.42,69.88,0,LEFT
2822,349.42,20,349.42,76.87,0,LEFT
2829,349.42,20,349.42,83.86,0,LEFT
2835,349.42,20,349.42,90.85,0,LEFT
2842,349.42,20,349.42,97.84,0,LEFT
2848,349.42,20,349.42,104.83,0,LEFT
2854,349.02,20,349.02,111.81,-20,LEFT
2859,349.02,20,349.02,118.79,0,LEFT
2865,348.22,20,348.22,125.75,-40,LEFT
2871,348.22,20,348.22,132.72,0,LEFT
2877,346.22,20,346.22,139.64,-100,LEFT
2883,346.22,20,346.22,146.57,0,LEFT
2889,344.22,20,344.22,153.45,-100,LEFT
2895,344.22,20,344.22,160.33,0,LEFT
2902,341.02,20,341.02,167.16,-160,LEFT
2908,341.02,20,341.02,173.98,0,LEFT
2914,338.62,20,338.62,180.75,-120,LEFT
2920,338.62,20,338.62,187.52,0,LEFT
2926,335.82,20,335.82,194.24,-140,LEFT
2931,335.82,20,335.82,200.95,0,LEFT
2937,331.82,20,331.82,207.59,-200,LEFT
2943,331.82,20,331.82,214.23,0,LEFT
2949,329.42,20,329.42,220.81,-120,LEFT
2955,329.42,20,329.42,227.4,0,LEFT
2961,327.42,20,327.42,233.95,-100,LEFT
2967,327.42,20,327.42,240.5,0,LEFT
2973,325.42,20,325.42,247.01,-100,LEFT
2980,325.42,20,325.42,253.52,0,LEFT
2986,323.42,20,323.42,259.99,-100,LEFT
2992,323.42,20,323.42,266.45,0,LEFT
2998,319.82,20,319.82,272.85,-180,LEFT
3005,319.82,20,319.82,279.25,0,LEFT
3011,317.42,20,317.42,285.6,-120,LEFT
3017,317.42,20,317.42,291.94,0,LEFT
