Time,Error,Speed,Proportional,Integral,Derivative
660,440.74,39.74,66.11,0,50
1054,828.27,39.5,124.24,0,50
1077,820.67,39.51,123.1,0,-380
1100,808.47,39.51,121.27,0,-610
1123,799.67,39.52,119.95,0,-440
1146,790.67,39.53,118.6,0,-450
1169,781.67,39.53,117.25,0,-450
1192,766.67,39.54,115,0,-750
1216,757.47,39.55,113.62,0,-460
1239,747.87,39.55,112.18,0,-480
1262,733.47,39.56,110.02,0,-720
1285,724.27,39.57,108.64,0,-460
1308,714.67,39.57,107.2,0,-480
1331,700.67,39.58,105.1,0,-700
1354,691.27,39.59,103.69,0,-470
1379,681.87,39.59,102.28,0,-470
1403,668.07,39.6,100.21,0,-690
1427,658.67,39.6,98.8,0,-470
1451,648.07,39.61,97.21,0,-530
1475,633.87,39.62,95.08,0,-710
1499,624.67,39.63,93.7,0,-460
1523,615.27,39.63,92.29,0,-470
1547,601.07,39.64,90.16,0,-710
1571,591.87,39.64,88.78,0,-460
1595,582.67,39.65,87.4,0,-460
1619,566.27,39.66,84.94,0,-820
1643,557.07,39.67,83.56,0,-460
1668,547.47,39.67,82.12,0,-480
1691,533.47,39.68,80.02,0,-700
1715,524.27,39.69,78.64,0,-460
1739,514.67,39.69,77.2,0,-480
1763,500.87,39.7,75.13,0,-690
1788,491.47,39.71,73.72,0,-470
1812,477.47,39.71,71.62,0,-700
1836,468.27,39.72,70.24,0,-460
1860,458.67,39.72,68.8,0,-480
1884,442.27,33.81,66.34,8.85,-820
1908,432.87,39.74,64.93,8.85,-470
1932,423.47,39.75,63.52,8.85,-470
1956,409.67,34.36,61.45,17.04,-690
1980,400.27,39.76,60.04,17.04,-470
2004,391.27,39.77,58.69,17.04,-450
2028,377.87,30.62,56.68,24.6,-670
2052,368.87,38.29,55.33,31.97,-450
2076,359.87,37.16,53.98,39.17,-450
2100,344.87,23.11,51.73,46.07,-750
2124,336.07,34.39,50.41,52.79,-440
2149,323.47,25.1,48.52,59.26,-630
2173,315.07,32.43,47.26,65.56,-420
2197,307.27,32.64,46.09,71.71,-390
2221,296.07,24.34,44.41,77.63,-560
2245,289.07,31.86,43.36,83.41,-350
2270,282.27,31.41,42.34,89.06,-340
2293,271.67,22.39,40.75,94.49,-530
2317,264.67,28.69,39.7,99.78,-350
2341,257.67,27.8,38.65,104.94,-350
2365,246.07,17.01,36.91,109.86,-580
2389,239.47,26.16,35.92,114.65,-330
2413,233.07,25.74,34.96,119.31,-320
2437,224.07,19.32,33.61,123.79,-450
2461,218.07,24.56,32.71,128.15,-300
2485,212.67,25.07,31.9,132.4,-270
2510,204.07,17.51,30.61,136.49,-430
2533,198.47,22.78,29.77,140.46,-280
2557,193.07,22.49,28.96,144.32,-270
2581,184.67,15.34,27.7,148.01,-420
2605,179.07,20.21,26.86,151.59,-280
2628,173.87,20.33,26.08,155.07,-260
2652,166.67,15.35,25,158.4,-360
2676,162.07,19.96,24.31,161.64,-230
2700,157.47,19.36,23.62,164.79,-230
2724,150.07,12.74,22.51,167.8,-370
2748,145.67,18.17,21.85,170.71,-220
2772,141.47,18.03,21.22,173.54,-210
2797,135.47,13.61,20.32,176.25,-300
2820,131.47,17.09,19.72,178.88,-200
2845,125.67,12.69,18.85,181.39,-290
2869,121.87,16.2,18.28,183.83,-190
2893,117.87,15.27,17.68,186.19,-200
2917,112.07,10.86,16.81,188.43,-290
2941,108.67,15.22,16.3,190.6,-170
2965,105.27,14.77,15.79,192.71,-170
2989,99.87,10.02,14.98,194.7,-270
3013,96.67,14,14.5,196.64,-160
3037,93.47,13.58,14.02,198.51,-160
3061,88.87,10.14,13.33,200.28,-230
3085,85.67,12.51,12.85,202,-160
3109,82.67,12.51,12.4,203.65,-150
3133,77.67,7.81,11.65,205.2,-250
3157,74.87,11.83,11.23,206.7,-140
3181,72.07,11.46,10.81,208.14,-140
3206,67.67,7.64,10.15,209.5,-220
3230,65.07,10.88,9.76,210.8,-130
3254,62.47,10.53,9.37,212.05,-130
3277,59.07,8.46,8.86,213.23,-170
3301,56.67,10.13,8.5,214.36,-120
3326,54.27,9.8,8.14,215.45,-120
3349,51.27,8.19,7.69,216.47,-150
3372,49.07,9.48,7.36,217.45,-110
3396,46.87,9.18,7.03,218.39,-110
3419,43.47,6.3,6.52,219.26,-170
3443,41.67,9.25,6.25,220.1,-90
3467,39.47,8.15,5.92,220.88,-110
3491,36.47,6.12,5.47,221.61,-150
3515,34.67,8.27,5.2,222.31,-90
3539,32.47,7.16,4.87,222.96,-110
3563,29.87,5.99,4.48,223.55,-130
3587,28.07,7.33,4.21,224.12,-90
3610,26.07,6.65,3.91,224.64,-100
3633,23.47,5.07,3.52,225.11,-130
3656,21.87,6.85,3.28,225.54,-80
3679,20.27,6.62,3.04,225.95,-80
3702,18.07,5.1,2.71,226.31,-110
3725,16.67,6.5,2.5,226.64,-70
3748,15.47,6.73,2.32,226.95,-60
3771,14.47,6.99,2.17,227.24,-50
3794,12.07,3.84,1.81,227.49,-120
3817,10.47,5.2,1.57,227.69,-80
3840,9.27,5.83,1.39,227.88,-60
3866,7.27,3.93,1.09,228.03,-100
3890,6.07,5.36,0.91,228.15,-60
3913,4.67,4.75,0.7,228.24,-70
3936,2.87,3.68,0.43,228.3,-90
3960,2.07,5.56,0.31,228.34,-40
3983,0.87,4.58,0.13,228.36,-60
