Time,Error,Speed,Proportional,Integral,Derivative
4072,378.48,24.55,113.54,0,50
4095,378.28,24.55,113.48,0,-10
4118,378.48,24.55,113.54,0,10
4141,377.68,24.55,113.3,0,-40
4164,375.88,24.55,112.76,0,-90
4187,372.88,24.55,111.86,0,-150
4210,368.48,24.56,110.54,0,-220
4233,360.88,24.57,108.26,0,-380
4256,356.08,24.57,106.82,0,-240
4279,350.08,24.58,105.02,0,-300
4302,339.48,24.59,101.84,0,-530
4325,333.08,24.6,99.92,0,-320
4349,326.88,24.61,98.06,0,-310
4372,318.08,24.62,95.42,0,-440
4395,312.28,24.63,93.68,0,-290
4420,306.68,24.63,92,0,-280
4444,297.68,24.64,89.3,0,-450
4468,292.48,24.65,87.74,0,-260
4492,287.28,24.66,86.18,0,-260
4516,277.88,24.67,83.36,0,-470
4540,271.88,24.67,81.56,0,-300
4564,266.08,24.68,79.82,0,-290
4588,257.08,24.69,77.12,0,-450
4612,251.28,24.7,75.38,0,-290
4636,245.48,24.71,73.64,0,-290
4660,236.28,24.72,70.88,0,-460
4684,230.68,24.72,69.2,0,-280
4708,225.08,24.73,67.52,0,-280
4732,215.48,24.74,64.64,0,-480
4756,209.68,24.75,62.9,0,-290
4780,203.88,24.76,61.16,0,-290
4804,194.68,24.77,58.4,0,-460
4829,189.08,24.77,56.72,0,-280
4853,180.28,24.78,54.08,0,-440
4877,174.28,24.79,52.28,0,-300
4901,168.68,24.8,50.6,0,-280
4926,159.88,24.81,47.96,0,-440
4949,154.28,24.81,46.28,0,-280
4973,148.28,24.82,44.48,0,-300
4997,139.28,19.45,41.78,2.79,-450
5021,133.68,24.84,40.1,2.79,-280
5045,128.68,24.85,38.6,2.79,-250
5069,119.28,12.59,35.78,5.17,-470
5093,112.68,17.75,33.8,7.42,-330
5117,107.88,20.94,32.36,9.58,-240
5141,99.68,10.1,29.9,11.58,-410
5165,94.68,16.71,28.4,13.47,-250
5189,90.28,17,27.08,15.27,-220
5214,83.28,8.5,24.98,16.94,-350
5238,79.48,15.45,23.84,18.53,-190
5262,76.48,16.65,22.94,20.06,-150
5286,71.08,9.11,21.32,21.48,-270
5310,68.08,14.29,20.42,22.84,-150
5334,65.28,14.03,19.58,24.15,-140
5358,60.68,8.22,18.2,25.36,-230
5382,57.48,10.83,17.24,26.51,-160
5406,54.68,11.06,16.4,27.6,-140
5430,49.88,4.68,14.96,28.6,-240
5454,46.88,8.33,14.06,29.54,-150
5478,43.88,7.49,13.16,30.42,-150
5503,40.48,5.52,12.14,31.23,-170
5526,38.28,7.9,11.48,31.99,-110
5550,36.28,7.85,10.88,32.72,-100
5574,33.88,6.17,10.16,33.39,-120
5599,32.28,7.72,9.68,34.04,-80
5623,30.28,6.16,9.08,34.65,-100
5647,28.88,7.28,8.66,35.22,-70
5671,27.28,6.33,8.18,35.77,-80
5695,25.08,4.2,7.52,36.27,-110
5719,23.48,5.25,7.04,36.74,-80
5743,21.88,4.79,6.56,37.18,-80
5767,19.48,2.1,5.84,37.57,-120
5791,18.08,4.2,5.42,37.93,-70
5815,16.88,4.36,5.06,38.27,-60
5839,15.28,2.9,4.58,38.57,-80
5863,14.28,4.11,4.28,38.86,-50
5887,13.68,4.95,4.1,39.13,-30
5911,12.68,3.67,3.8,39.38,-50
5935,12.08,4.5,3.62,39.63,-30
5959,11.48,4.33,3.44,39.85,-30
5984,10.48,3.05,3.14,40.06,-50
6008,9.48,2.76,2.84,40.25,-50
6032,8.48,2.47,2.54,40.42,-50
6056,6.68,-0.06,2,40.56,-90
6080,6.08,2.76,1.82,40.68,-30
6105,6.08,4.27,1.82,40.8,0
6128,5.88,3.72,1.76,40.92,-10
6152,5.88,4.22,1.76,41.04,0
6176,5.68,3.67,1.7,41.15,-10
6200,5.28,3.06,1.58,41.25,-20
6224,4.68,2.38,1.4,41.35,-30
6248,4.08,2.21,1.22,41.43,-30
6272,3.08,0.91,0.92,41.49,-50
6296,2.68,2.3,0.8,41.54,-20
6320,2.88,3.86,0.86,41.6,10
6344,2.48,2.24,0.74,41.65,-20
6368,2.48,3.24,0.74,41.7,0
6392,2.48,3.25,0.74,41.75,0
6417,2.48,3.25,0.74,41.8,0
6441,2.08,2.13,0.62,41.84,-20
6465,1.68,2.02,0.5,41.87,-20
6489,0.88,0.78,0.26,41.89,-40
