Time,Error,Speed,Proportional,Integral,Derivative
12269,440.74,39.74,66.11,0,50
12662,828.47,39.5,124.27,0,50
12685,821.27,39.51,123.19,0,-360
12708,808.67,39.51,121.3,0,-630
12731,799.87,39.52,119.98,0,-440
12754,791.07,39.53,118.66,0,-440
12777,781.27,39.53,117.19,0,-490
12800,764.87,39.54,114.73,0,-820
12823,755.47,39.55,113.32,0,-470
12846,746.07,39.55,111.91,0,-470
12870,731.67,39.56,109.75,0,-720
12893,722.07,39.57,108.31,0,-480
12916,712.87,39.57,106.93,0,-460
12939,698.87,39.58,104.83,0,-700
12962,689.47,39.59,103.42,0,-470
12987,680.07,39.59,102.01,0,-470
13011,666.07,39.6,99.91,0,-700
13035,656.67,39.61,98.5,0,-470
13059,647.27,39.61,97.09,0,-470
13083,633.07,39.62,94.96,0,-710
13107,623.87,39.63,93.58,0,-460
13131,614.47,39.63,92.17,0,-470
13155,599.27,39.64,89.89,0,-760
13179,590.07,39.65,88.51,0,-460
13203,580.67,39.65,87.1,0,-470
13227,565.67,39.66,84.85,0,-750
13251,556.47,39.67,83.47,0,-460
13275,547.07,39.67,82.06,0,-470
13300,531.67,39.68,79.75,0,-770
13324,523.47,39.69,78.52,0,-410
13348,514.07,39.69,77.11,0,-470
13373,498.07,39.7,74.71,0,-800
13397,488.47,39.71,73.27,0,-480
13422,479.07,39.71,71.86,0,-470
13445,463.67,39.03,69.55,9.27,-770
13469,454.27,39.73,68.14,9.27,-470
13493,446.07,39.73,66.91,9.27,-410
13517,429.87,32.62,64.48,17.87,-810
13541,420.47,39.75,63.07,17.87,-470
13565,411.27,39.75,61.69,17.87,-460
13589,397.27,32.37,59.59,25.82,-700
13613,388.27,39.77,58.24,25.82,-450
13637,379.07,39.46,56.86,33.4,-460
13661,365.07,27.98,54.76,40.7,-700
13685,356.47,37.71,53.47,47.83,-430
13709,348.07,37.05,52.21,54.79,-420
13734,334.07,23.96,50.11,61.47,-700
13758,325.67,34.09,48.85,67.99,-420
13782,317.47,33.45,47.62,74.33,-410
13806,304.47,22.08,45.67,80.42,-650
13830,296.47,31.06,44.47,86.35,-400
13854,288.67,30.46,43.3,92.13,-390
13878,276.67,20.43,41.5,97.66,-600
13902,269.67,29.54,40.45,103.05,-350
13926,262.67,28.65,39.4,108.31,-350
13950,252.87,21.73,37.93,113.36,-490
13974,246.67,28.15,37,118.3,-310
13999,240.07,26.5,36.01,123.1,-330
14022,230.47,19.2,34.57,127.71,-480
14046,224.27,25.21,33.64,132.19,-310
14071,215.47,18.82,32.32,136.5,-440
14095,209.67,24.07,31.45,140.7,-290
14119,203.87,23.32,30.58,144.78,-290
14143,195.67,17.41,29.35,148.69,-410
14167,190.67,23.18,28.6,152.5,-250
14191,185.67,22.54,27.85,156.22,-250
14215,177.47,15.01,26.62,159.77,-410
14239,172.47,20.77,25.87,163.21,-250
14263,167.47,20.12,25.12,166.56,-250
14287,159.07,12.15,23.86,169.75,-420
14311,154.27,18.73,23.14,172.83,-240
14335,150.07,19.39,22.51,175.83,-210
14359,143.27,13.25,21.49,178.7,-340
14383,139.07,17.91,20.86,181.48,-210
14408,133.07,13.49,19.96,184.14,-300
14432,129.07,16.96,19.36,186.72,-200
14456,125.27,16.87,18.79,189.23,-190
14480,119.27,11.64,17.89,191.61,-300
14504,115.87,16.4,17.38,193.93,-170
14528,112.67,16.39,16.9,196.18,-160
14552,106.67,9.95,16,198.32,-300
14577,103.27,14.7,15.49,200.38,-170
14600,99.87,14.25,14.98,202.38,-170
14624,94.67,9.93,14.2,204.27,-260
14648,91.67,13.93,13.75,206.11,-150
14672,88.47,13.11,13.27,207.88,-160
14696,83.07,7.95,12.46,209.54,-270
14720,80.07,12.35,12.01,211.14,-150
14745,76.07,9.79,11.41,212.66,-200
14769,73.27,11.81,10.99,214.13,-140
14793,70.47,11.44,10.57,215.54,-140
14817,66.47,8.48,9.97,216.87,-200
14841,63.87,10.93,9.58,218.14,-130
14865,61.47,11,9.22,219.37,-120
14889,58.07,8.53,8.71,220.53,-170
14913,55.67,10.2,8.35,221.65,-120
14937,53.27,9.87,7.99,222.71,-120
14961,49.27,6.1,7.39,223.7,-200
14985,46.87,8.97,7.03,224.64,-120
15009,44.47,8.64,6.67,225.53,-120
15033,41.27,6.58,6.19,226.35,-160
15057,39.27,8.71,5.89,227.14,-100
15081,37.47,8.86,5.62,227.89,-90
15105,34.87,6.89,5.23,228.58,-130
15128,33.27,8.67,4.99,229.25,-80
15151,31.47,8.02,4.72,229.88,-90
15174,29.87,8.2,4.48,230.48,-80
15197,26.47,4.1,3.97,231.01,-170
15220,24.87,7.48,3.73,231.5,-80
15243,23.07,6.82,3.46,231.96,-90
15266,20.27,4.41,3.04,232.37,-140
15289,18.67,6.58,2.8,232.74,-80
15312,17.47,7.21,2.62,233.09,-60
15335,16.07,6.61,2.41,233.41,-70
15358,14.47,5.98,2.17,233.7,-80
15381,13.47,7.04,2.02,233.97,-50
15404,11.87,5.61,1.78,234.21,-80
15427,9.27,3.22,1.39,234.4,-130
15450,7.87,5.42,1.18,234.55,-70
15474,6.67,5.64,1,234.69,-60
15497,4.67,3.74,0.7,234.78,-100
15520,3.47,5.17,0.52,234.85,-60
15543,2.27,4.99,0.34,234.9,-60
15566,1.27,5.24,0.19,234.92,-50
15589,-0.13,4.23,-0.02,234.92,-70
