Time,Error,Speed,Proportional,Integral,Derivative
21504,378.48,24.55,113.54,0,50
21527,377.48,24.55,113.24,0,-50
21551,377.68,24.55,113.3,0,10
21575,377.48,24.55,113.24,0,-10
21599,375.28,24.55,112.58,0,-110
21623,371.68,24.55,111.5,0,-180
21647,364.08,24.56,109.22,0,-380
21671,359.48,24.57,107.84,0,-230
21695,354.08,24.58,106.22,0,-270
21719,343.88,24.59,103.16,0,-510
21743,337.28,24.6,101.18,0,-330
21767,331.08,24.6,99.32,0,-310
21791,320.88,24.61,96.26,0,-510
21815,315.08,24.62,94.52,0,-290
21839,309.48,24.63,92.84,0,-280
21865,300.08,24.64,90.02,0,-470
21889,294.48,24.65,88.34,0,-280
21913,289.28,24.65,86.78,0,-260
21937,280.48,24.66,84.14,0,-440
21961,274.48,24.67,82.34,0,-300
21985,268.48,24.68,80.54,0,-300
22009,259.68,24.69,77.9,0,-440
22033,253.88,24.7,76.16,0,-290
22057,248.08,24.7,74.42,0,-290
22082,238.88,24.71,71.66,0,-460
22107,233.08,24.72,69.92,0,-290
22132,224.68,24.73,67.4,0,-420
22157,219.08,24.74,65.72,0,-280
22181,210.48,24.75,63.14,0,-430
22205,204.28,24.75,61.28,0,-310
22229,198.68,24.76,59.6,0,-280
22255,188.48,24.77,56.54,0,-510
22279,182.68,24.78,54.8,0,-290
22303,177.08,24.79,53.12,0,-280
22327,167.88,24.8,50.36,0,-460
22351,161.88,24.81,48.56,0,-300
22375,157.08,24.81,47.12,0,-240
22399,147.68,20.98,44.3,2.95,-470
22423,141.88,24.83,42.56,2.95,-290
22447,136.08,24.84,40.82,2.95,-290
22471,126.68,14.83,38,5.49,-470
22495,121.28,23.36,36.38,7.91,-270
22519,116.08,22.44,34.82,10.23,-260
22543,107.48,11.49,32.24,12.38,-430
22567,102.68,19.67,30.8,14.44,-240
22591,97.68,17.79,29.3,16.39,-250
22617,90.48,10.23,27.14,18.2,-360
22641,86.08,16.02,25.82,19.92,-220
22665,81.88,15.36,24.56,21.56,-210
22689,75.88,9.15,22.76,23.08,-300
22713,72.28,14.15,21.68,24.52,-180
22737,68.88,13.72,20.66,25.9,-170
22761,63.48,7.17,19.04,27.17,-270
22786,60.68,12.91,18.2,28.38,-140
22811,56.48,8.21,16.94,29.51,-210
22835,53.68,10.94,16.1,30.59,-140
22859,51.08,10.72,15.32,31.61,-130
22883,46.88,5.52,14.06,32.54,-210
22907,44.68,9.91,13.4,33.44,-110
22931,42.28,8.74,12.68,34.28,-120
22955,38.28,3.59,11.48,35.05,-200
22981,36.08,7.47,10.82,35.77,-110
23005,33.48,5.73,10.04,36.44,-130
23030,31.88,7.79,9.56,37.08,-80
23054,30.48,7.9,9.14,37.69,-70
23078,28.48,5.84,8.54,38.26,-100
23102,27.08,6.95,8.12,38.8,-70
23127,25.08,4.88,7.52,39.3,-100
23151,23.48,5.43,7.04,39.77,-80
23175,22.08,5.54,6.62,40.21,-70
23199,20.08,3.46,6.02,40.61,-100
23224,18.48,4,5.54,40.98,-80
23248,16.88,3.54,5.06,41.32,-80
23272,15.88,4.76,4.76,41.64,-50
23296,14.88,4.48,4.46,41.93,-50
23321,13.28,2.51,3.98,42.2,-80
23345,12.28,3.73,3.68,42.45,-50
23371,11.28,3.44,3.38,42.67,-50
23395,10.28,3.16,3.08,42.88,-50
23420,9.08,2.31,2.72,43.06,-60
23444,8.48,3.64,2.54,43.23,-30
23468,7.68,2.91,2.3,43.38,-40
23492,6.48,1.55,1.94,43.51,-60
23517,6.08,3.44,1.82,43.63,-20
23541,4.88,1.09,1.46,43.73,-60
23565,4.28,2.41,1.28,43.82,-30
23590,3.88,2.8,1.16,43.89,-20
23614,3.28,2.12,0.98,43.96,-30
23638,2.68,1.94,0.8,44.01,-30
23662,2.68,3.45,0.8,44.07,0
23686,2.08,1.77,0.62,44.11,-30
23711,1.68,2.15,0.5,44.14,-20
23735,0.68,0.35,0.2,44.15,-50
