Time,Error,Speed,Proportional,Integral,Derivative,ID
2765,-349.42,nan,-349.42,-6.99,-inf,RIGHT
2770,-349.42,-20,-349.42,-13.98,0,RIGHT
2775,-349.42,-20,-349.42,-20.97,0,RIGHT
2781,-349.42,-20,-349.42,-27.95,0,RIGHT
2786,-349.42,-20,-349.42,-34.94,0,RIGHT
2791,-349.42,-20,-349.42,-41.93,0,RIGHT
2797,-349.42,-20,-349.42,-48.92,0,RIGHT
2802,-349.42,-20,-349.42,-55.91,0,RIGHT
2809,-349.42,-20,-349.42,-62.9,0,RIGHT
2815,-349.42,-20,-349.42,-69.88,0,RIGHT
2820,-349.42,-20,-349.42,-76.87,0,RIGHT
2825,-349.42,-20,-349.42,-83.86,0,RIGHT
2832,-349.42,-20,-349.42,-90.85,0,RIGHT
2839,-349.42,-20,-349.42,-97.84,0,RIGHT
2845,-349.42,-20,-349.42,-104.83,0,RIGHT
2851,-349.42,-20,-349.42,-111.82,0,RIGHT
2857,-349.02,-20,-349.02,-118.8,20,RIGHT
2862,-349.02,-20,-349.02,-125.78,0,RIGHT
2868,-348.62,-20,-348.62,-132.75,20,RIGHT
2874,-348.62,-20,-348.62,-139.72,0,RIGHT
2880,-347.42,-20,-347.42,-146.67,60,RIGHT
2886,-347.42,-20,-347.42,-153.62,0,RIGHT
2892,-344.62,-20,-344.62,-160.51,140,RIGHT
2898,-344.62,-20,-344.62,-167.4,0,RIGHT
2905,-342.62,-20,-342.62,-174.26,100,RIGHT
2911,-342.62,-20,-342.62,-181.11,0,RIGHT
2917,-338.62,-20,-338.62,-187.88,200,RIGHT
2923,-338.62,-20,-338.62,-194.65,0,RIGHT
2928,-336.22,-20,-336.22,-201.38,120,RIGHT
2934,-336.22,-20,-336.22,-208.1,0,RIGHT
2940,-334.22,-20,-334.22,-214.79,100,RIGHT
2946,-334.22,-20,-334.22,-221.47,0,RIGHT
2952,-331.82,-20,-331.82,-228.11,120,RIGHT
2958,-331.82,-20,-331.82,-234.74,0,RIGHT
2964,-330.22,-20,-330.22,-241.35,80,RIGHT
2970,-330.22,-20,-330.22,-247.95,0,RIGHT
2976,-327.82,-20,-327.82,-254.51,120,RIGHT
