Time,Error,Speed,Proportional,Integral,Derivative,ID
6625,-349.42,nan,-349.42,-6.99,-inf,RIGHT
6632,-349.42,-20,-349.42,-13.98,0,RIGHT
6639,-349.42,-20,-349.42,-20.97,0,RIGHT
6646,-349.42,-20,-349.42,-27.95,0,RIGHT
6653,-349.42,-20,-349.42,-34.94,0,RIGHT
6662,-349.42,-20,-349.42,-41.93,0,RIGHT
6669,-349.42,-20,-349.42,-48.92,0,RIGHT
6676,-349.42,-20,-349.42,-55.91,0,RIGHT
6683,-349.42,-20,-349.42,-62.9,0,RIGHT
6690,-349.42,-20,-349.42,-69.88,0,RIGHT
6697,-349.42,-20,-349.42,-76.87,0,RIGHT
6704,-349.42,-20,-349.42,-83.86,0,RIGHT
6713,-349.42,-20,-349.42,-90.85,0,RIGHT
6721,-349.02,-20,-349.02,-97.83,20,RIGHT
6729,-349.02,-20,-349.02,-104.81,0,RIGHT
6737,-347.02,-20,-347.02,-111.75,100,RIGHT
6744,-347.02,-20,-347.02,-118.69,0,RIGHT
6752,-344.62,-20,-344.62,-125.58,120,RIGHT
6760,-344.62,-20,-344.62,-132.48,0,RIGHT
6768,-341.42,-20,-341.42,-139.31,160,RIGHT
6775,-341.42,-20,-341.42,-146.13,0,RIGHT
6783,-337.42,-20,-337.42,-152.88,200,RIGHT
6791,-337.42,-20,-337.42,-159.63,0,RIGHT
6798,-333.42,-20,-333.42,-166.3,200,RIGHT
6807,-333.42,-20,-333.42,-172.97,0,RIGHT
6815,-330.62,-20,-330.62,-179.58,140,RIGHT
6824,-329.42,-20,-329.42,-186.17,60,RIGHT
6832,-329.42,-20,-329.42,-192.76,0,RIGHT
6840,-326.22,-20,-326.22,-199.28,160,RIGHT
6847,-326.22,-20,-326.22,-205.81,0,RIGHT
6855,-322.22,-20,-322.22,-212.25,200,RIGHT
6863,-322.22,-20,-322.22,-218.69,0,RIGHT
6870,-318.22,-20,-318.22,-225.06,200,RIGHT
6878,-318.22,-20,-318.22,-231.42,0,RIGHT
6886,-313.82,-20,-313.82,-237.7,220,RIGHT
6893,-313.82,-20,-313.82,-243.98,0,RIGHT
6901,-309.42,-20,-309.42,-250.17,220,RIGHT
6908,-309.42,-20,-309.42,-256.35,0,RIGHT
6916,-305.42,-20,-305.42,-262.46,200,RIGHT
6924,-305.42,-20,-305.42,-268.57,0,RIGHT
6933,-301.42,-20,-301.42,-274.6,200,RIGHT
6940,-301.42,-20,-301.42,-280.63,0,RIGHT
6948,-297.82,-20,-297.82,-286.58,180,RIGHT
6956,-297.82,-20,-297.82,-292.54,0,RIGHT
6964,-293.82,-20,-293.82,-298.42,200,RIGHT
6971,-293.82,-20,-293.82,-304.29,0,RIGHT
6979,-290.22,-20,-290.22,-310.1,180,RIGHT
6986,-290.22,-20,-290.22,-315.9,0,RIGHT
6994,-286.22,-20,-286.22,-321.63,200,RIGHT
7003,-286.22,-20,-286.22,-327.35,0,RIGHT
7011,-282.62,-20,-282.62,-333,180,RIGHT
7019,-282.62,-20,-282.62,-338.66,0,RIGHT
7026,-279.42,-20,-279.42,-344.24,160,RIGHT
7034,-279.42,-20,-279.42,-349.83,0,RIGHT
7043,-276.62,-20,-276.62,-355.37,140,RIGHT
7051,-273.42,-20,-273.42,-360.83,160,RIGHT
7058,-273.42,-20,-273.42,-366.3,0,RIGHT
7066,-270.22,-20,-270.22,-371.71,160,RIGHT
7074,-270.22,-20,-270.22,-377.11,0,RIGHT
7081,-266.62,-20,-266.62,-382.44,180,RIGHT
7089,-266.62,-20,-266.62,-387.78,0,RIGHT
7098,-263.82,-20,-263.82,-393.05,140,RIGHT
7106,-263.82,-20,-263.82,-398.33,0,RIGHT
7114,-259.02,-20,-259.02,-403.51,240,RIGHT
7121,-259.02,-20,-259.02,-408.69,0,RIGHT
7131,-255.42,-20,-255.42,-413.8,180,RIGHT
7138,-252.62,-20,-252.62,-418.85,140,RIGHT
7148,-252.62,-20,-252.62,-423.9,0,RIGHT
7155,-247.42,-20,-247.42,-428.85,260,RIGHT
7163,-247.42,-20,-247.42,-433.8,0,RIGHT
7171,-243.82,-20,-243.82,-438.68,180,RIGHT
7178,-243.82,-20,-243.82,-443.55,0,RIGHT
7186,-240.22,-20,-240.22,-448.36,180,RIGHT
7195,-240.22,-20,-240.22,-453.16,0,RIGHT
7203,-237.82,-20,-237.82,-457.92,120,RIGHT
7210,-237.82,-20,-237.82,-462.68,0,RIGHT
7218,-234.22,-20,-234.22,-467.36,180,RIGHT
7226,-234.22,-20,-234.22,-472.04,0,RIGHT
7233,-229.42,-20,-229.42,-476.63,240,RIGHT
7241,-229.42,-20,-229.42,-481.22,0,RIGHT
7249,-225.42,-20,-225.42,-485.73,200,RIGHT
7258,-223.02,-20,-223.02,-490.19,120,RIGHT
7266,-223.02,-20,-223.02,-494.65,0,RIGHT
7273,-219.42,-20,-219.42,-499.04,180,RIGHT
7281,-219.42,-20,-219.42,-503.43,0,RIGHT
7290,-215.82,-20,-215.82,-507.74,180,RIGHT
7297,-215.82,-20,-215.82,-512.06,0,RIGHT
7304,-211.82,-20,-211.82,-516.3,200,RIGHT
7311,-211.82,-20,-211.82,-520.53,0,RIGHT
7318,-209.42,-20,-209.42,-524.72,120,RIGHT
7325,-209.42,-20,-209.42,-528.91,0,RIGHT
7332,-206.22,-20,-206.22,-533.03,160,RIGHT
7339,-206.22,-20,-206.22,-537.16,0,RIGHT
7346,-202.62,-20,-202.62,-541.21,180,RIGHT
7354,-202.62,-20,-202.62,-545.26,0,RIGHT
7362,-199.02,-20,-199.02,-549.24,180,RIGHT
7368,-196.62,-20,-196.62,-553.18,120,RIGHT
7375,-196.62,-20,-196.62,-557.11,0,RIGHT
7382,-193.02,-20,-193.02,-560.97,180,RIGHT
