Time,Error,Speed,Proportional,Integral,Derivative
6579,440.74,39.74,66.11,0,50
6972,827.67,39.5,124.15,0,50
6995,820.07,39.51,123.01,0,-380
7018,807.47,39.52,121.12,0,-630
7041,798.47,39.52,119.77,0,-450
7064,789.27,39.53,118.39,0,-460
7087,779.87,39.53,116.98,0,-470
7110,765.67,39.54,114.85,0,-710
7136,756.07,39.55,113.41,0,-480
7159,742.07,39.55,111.31,0,-700
7182,732.47,39.56,109.87,0,-480
7205,723.07,39.57,108.46,0,-470
7228,713.67,39.57,107.05,0,-470
7251,698.47,39.58,104.77,0,-760
7274,689.07,39.59,103.36,0,-470
7299,679.87,39.59,101.98,0,-460
7322,665.87,39.6,99.88,0,-700
7346,656.47,39.61,98.47,0,-470
7370,647.27,39.61,97.09,0,-460
7394,631.87,39.62,94.78,0,-770
7417,622.67,39.63,93.4,0,-460
7441,613.27,39.63,91.99,0,-470
7465,599.27,39.64,89.89,0,-700
7489,589.87,39.65,88.48,0,-470
7512,580.47,39.65,87.07,0,-470
7536,565.47,39.66,84.82,0,-750
7560,555.87,39.67,83.38,0,-480
7584,546.67,39.67,82,0,-460
7607,537.07,39.68,80.56,0,-480
7632,520.87,39.69,78.13,0,-810
7655,511.47,39.69,76.72,0,-470
7679,501.87,39.7,75.28,0,-480
7704,488.07,39.71,73.21,0,-690
7728,478.67,39.71,71.8,0,-470
7752,469.27,39.72,70.39,0,-470
7776,452.67,34.97,67.9,9.05,-830
7799,443.47,39.73,66.52,9.05,-460
7823,434.07,39.74,65.11,9.05,-470
7847,420.07,35.53,63.01,17.45,-700
7871,411.07,39.75,61.66,17.45,-450
7894,401.87,39.76,60.28,17.45,-460
7918,388.27,31.8,58.24,25.22,-680
7942,379.07,39.45,56.86,32.8,-460
7966,370.07,38.72,55.51,40.2,-450
7989,356.47,27.69,53.47,47.33,-680
8013,347.67,36.18,52.15,54.29,-440
8037,339.27,35.92,50.89,61.07,-420
8062,324.67,21.53,48.7,67.57,-730
8086,316.27,32.86,47.44,73.89,-420
8110,308.47,33.07,46.27,80.06,-390
8135,296.67,23.48,44.5,85.99,-590
8158,289.27,31.34,43.39,91.78,-370
8182,282.47,31.69,42.37,97.43,-340
8206,270.67,20.09,40.6,102.84,-590
8230,263.87,29.22,39.58,108.12,-340
8253,257.07,28.36,38.56,113.26,-340
8277,246.67,19.75,37,118.19,-520
8301,240.27,26.93,36.04,123,-320
8325,233.67,25.68,35.05,127.67,-330
8348,224.67,19.67,33.7,132.17,-450
8372,218.67,24.9,32.8,136.54,-300
8396,212.87,24.56,31.93,140.8,-290
8421,203.87,16.93,30.58,144.88,-450
8444,198.47,23.44,29.77,148.84,-270
8468,193.07,22.74,28.96,152.71,-270
8492,184.67,15.59,27.7,156.4,-420
8516,179.67,21.75,26.95,159.99,-250
8539,174.67,21.11,26.2,163.49,-250
8563,167.47,15.73,25.12,166.84,-360
8587,162.67,19.9,24.4,170.09,-240
8612,157.87,19.28,23.68,173.25,-240
8635,151.07,14.35,22.66,176.27,-340
8659,146.67,18.58,22,179.2,-220
8683,142.27,18,21.34,182.05,-220
8707,135.67,12.69,20.35,184.76,-330
8730,131.67,17.37,19.75,187.39,-200
8755,127.47,16.42,19.12,189.94,-210
8779,121.07,11.13,18.16,192.37,-320
8802,117.27,15.83,17.59,194.71,-190
8826,113.67,15.76,17.05,196.98,-180
8850,108.47,11.85,16.27,199.15,-260
8874,104.87,14.57,15.73,201.25,-180
8897,101.47,14.52,15.22,203.28,-170
8921,96.07,9.77,14.41,205.2,-270
8945,93.07,14.17,13.96,207.06,-150
8969,89.87,13.35,13.48,208.86,-160
8992,85.27,9.91,12.79,210.57,-230
9016,82.07,12.28,12.31,212.21,-160
9040,79.07,12.27,11.86,213.79,-150
9064,74.27,8,11.14,215.27,-240
9087,71.47,11.62,10.72,216.7,-140
9112,68.67,11.24,10.3,218.08,-140
9136,64.47,7.85,9.67,219.37,-210
9160,61.87,10.7,9.28,220.6,-130
9183,59.47,10.77,8.92,221.79,-120
9207,56.07,8.3,8.41,222.92,-170
9231,54.07,10.83,8.11,224,-100
9255,51.67,9.7,7.75,225.03,-120
9278,48.07,6.79,7.21,225.99,-180
9302,46.07,9.72,6.91,226.91,-100
9326,44.07,9.44,6.61,227.8,-100
9350,40.47,5.73,6.07,228.6,-180
9373,38.67,9.08,5.8,229.38,-90
9397,36.87,8.83,5.53,230.12,-90
9421,33.87,6,5.08,230.79,-150
9445,32.07,8.15,4.81,231.43,-90
9468,30.27,7.9,4.54,232.04,-90
9493,27.87,6.36,4.18,232.6,-120
9516,26.07,7.3,3.91,233.12,-90
9539,24.27,7.05,3.64,233.6,-90
9562,21.47,4.64,3.22,234.03,-140
9585,19.87,6.81,2.98,234.43,-80
9608,18.27,6.58,2.74,234.8,-80
9631,16.07,5.06,2.41,235.12,-110
9654,14.67,6.46,2.2,235.41,-70
9677,13.47,6.69,2.02,235.68,-60
9700,12.07,6.09,1.81,235.92,-70
9723,10.27,5.03,1.54,236.13,-90
9746,8.87,5.62,1.33,236.31,-70
9770,7.47,5.41,1.12,236.46,-70
9793,5.27,3.49,0.79,236.56,-110
9816,4.07,5.31,0.61,236.64,-60
9839,2.67,4.7,0.4,236.7,-70
9863,0.87,3.63,0.13,236.71,-90
