Time,Error,Speed,Proportional,Integral,Derivative,ID
6622,349.42,nan,349.42,0,-inf,LEFT
6628,349.42,20,349.42,6.99,0,LEFT
6635,349.42,20,349.42,13.98,0,LEFT
6642,349.42,20,349.42,20.97,0,LEFT
6650,349.42,20,349.42,27.95,0,LEFT
6658,349.42,20,349.42,34.94,0,LEFT
6665,349.42,20,349.42,41.93,0,LEFT
6672,349.42,20,349.42,48.92,0,LEFT
6679,349.42,20,349.42,55.91,0,LEFT
6686,349.42,20,349.42,62.9,0,LEFT
6694,349.42,20,349.42,69.88,0,LEFT
6701,349.42,20,349.42,76.87,0,LEFT
6709,349.42,20,349.42,83.86,0,LEFT
6716,349.42,20,349.42,90.85,0,LEFT
6725,348.62,20,348.62,97.82,-40,LEFT
6733,348.62,20,348.62,104.79,0,LEFT
6741,347.02,20,347.02,111.74,-80,LEFT
6748,347.02,20,347.02,118.68,0,LEFT
6756,343.42,20,343.42,125.54,-180,LEFT
6764,343.42,20,343.42,132.41,0,LEFT
6771,339.82,20,339.82,139.21,-180,LEFT
6779,339.82,20,339.82,146.01,0,LEFT
6787,335.82,20,335.82,152.72,-200,LEFT
6794,335.82,20,335.82,159.44,0,LEFT
6804,331.82,20,331.82,166.08,-200,LEFT
6811,329.82,20,329.82,172.67,-100,LEFT
6819,329.82,20,329.82,179.27,0,LEFT
6828,327.02,20,327.02,185.81,-140,LEFT
6836,327.02,20,327.02,192.35,0,LEFT
6843,323.82,20,323.82,198.83,-160,LEFT
6851,323.82,20,323.82,205.3,0,LEFT
6859,320.22,20,320.22,211.71,-180,LEFT
6866,320.22,20,320.22,218.11,0,LEFT
6874,316.22,20,316.22,224.44,-200,LEFT
6882,316.22,20,316.22,230.76,0,LEFT
6889,312.22,20,312.22,237,-200,LEFT
6897,312.22,20,312.22,243.25,0,LEFT
6904,308.22,20,308.22,249.41,-200,LEFT
6912,308.22,20,308.22,255.58,0,LEFT
6920,304.62,20,304.62,261.67,-180,LEFT
6927,304.62,20,304.62,267.76,0,LEFT
6937,300.62,20,300.62,273.77,-200,LEFT
6944,300.62,20,300.62,279.79,0,LEFT
6952,295.82,20,295.82,285.7,-240,LEFT
6960,295.82,20,295.82,291.62,0,LEFT
6967,292.22,20,292.22,297.46,-180,LEFT
6975,292.22,20,292.22,303.31,0,LEFT
6983,288.62,20,288.62,309.08,-180,LEFT
6990,288.62,20,288.62,314.85,0,LEFT
6999,284.62,20,284.62,320.55,-200,LEFT
7007,282.62,20,282.62,326.2,-100,LEFT
7015,282.62,20,282.62,331.85,0,LEFT
7023,279.02,20,279.02,337.43,-180,LEFT
7030,279.02,20,279.02,343.01,0,LEFT
7038,275.82,20,275.82,348.53,-160,LEFT
7047,275.82,20,275.82,354.05,0,LEFT
7055,272.22,20,272.22,359.49,-180,LEFT
7062,272.22,20,272.22,364.93,0,LEFT
7070,268.62,20,268.62,370.31,-180,LEFT
7078,268.62,20,268.62,375.68,0,LEFT
7085,265.02,20,265.02,380.98,-180,LEFT
7094,261.42,20,261.42,386.21,-180,LEFT
7102,261.42,20,261.42,391.44,0,LEFT
7110,257.82,20,257.82,396.59,-180,LEFT
7118,257.82,20,257.82,401.75,0,LEFT
7125,254.22,20,254.22,406.83,-180,LEFT
7135,254.22,20,254.22,411.92,0,LEFT
7142,251.42,20,251.42,416.95,-140,LEFT
7151,251.42,20,251.42,421.98,0,LEFT
7159,246.62,20,246.62,426.91,-240,LEFT
7167,246.62,20,246.62,431.84,0,LEFT
7174,243.02,20,243.02,436.7,-180,LEFT
7182,243.02,20,243.02,441.56,0,LEFT
7191,239.42,20,239.42,446.35,-180,LEFT
7199,237.02,20,237.02,451.09,-120,LEFT
7207,237.02,20,237.02,455.83,0,LEFT
7214,233.42,20,233.42,460.5,-180,LEFT
7222,233.42,20,233.42,465.17,0,LEFT
7230,228.62,20,228.62,469.74,-240,LEFT
7237,228.62,20,228.62,474.31,0,LEFT
7245,225.02,20,225.02,478.81,-180,LEFT
7253,225.02,20,225.02,483.31,0,LEFT
7262,222.62,20,222.62,487.77,-120,LEFT
7269,222.62,20,222.62,492.22,0,LEFT
7277,219.02,20,219.02,496.6,-180,LEFT
7286,215.42,20,215.42,500.91,-180,LEFT
7293,215.42,20,215.42,505.22,0,LEFT
7300,213.02,20,213.02,509.48,-120,LEFT
7307,213.02,20,213.02,513.74,0,LEFT
7314,209.42,20,209.42,517.93,-180,LEFT
7321,209.42,20,209.42,522.11,0,LEFT
7328,205.82,20,205.82,526.23,-180,LEFT
7335,205.82,20,205.82,530.35,0,LEFT
7343,202.22,20,202.22,534.39,-180,LEFT
7350,202.22,20,202.22,538.44,0,LEFT
7357,198.62,20,198.62,542.41,-180,LEFT
7365,198.62,20,198.62,546.38,0,LEFT
7371,196.22,20,196.22,550.3,-120,LEFT
7379,196.22,20,196.22,554.23,0,LEFT
7386,192.62,20,192.62,558.08,-180,LEFT
7393,192.62,20,192.62,561.93,0,LEFT
7400,189.02,20,189.02,565.71,-180,LEFT
7406,189.02,20,189.02,569.5,0,LEFT
7413,186.62,20,186.62,573.23,-120,LEFT
7420,186.62,20,186.62,576.96,0,LEFT
7427,183.02,20,183.02,580.62,-180,LEFT
7434,183.02,20,183.02,584.28,0,LEFT
7440,179.82,20,179.82,587.88,-160,LEFT
7447,179.82,20,179.82,591.47,0,LEFT
7455,176.22,20,176.22,595,-180,LEFT
7464,173.42,20,173.42,598.47,-140,LEFT
7471,173.42,20,173.42,601.94,0,LEFT
7478,169.82,20,169.82,605.33,-180,LEFT
7486,169.82,20,169.82,608.73,0,LEFT
7493,166.22,20,166.22,612.05,-180,LEFT
7501,166.22,20,166.22,615.38,0,LEFT
7508,162.62,20,162.62,618.63,-180,LEFT
7515,162.62,20,162.62,621.88,0,LEFT
7523,159.02,20,159.02,625.06,-180,LEFT
7530,159.02,20,159.02,628.24,0,LEFT
7537,155.42,20,155.42,631.35,-180,LEFT
7545,155.42,20,155.42,634.46,0,LEFT
7554,151.82,20,151.82,637.5,-180,LEFT
7562,151.82,20,151.82,640.53,0,LEFT
7570,149.42,20,149.42,643.52,-120,LEFT
7578,149.42,20,149.42,646.51,0,LEFT
7587,144.62,20,144.62,649.4,-240,LEFT
7595,142.22,20,142.22,652.25,-120,LEFT
7603,142.22,20,142.22,655.09,0,LEFT
7610,138.62,20,138.62,657.86,-180,LEFT
7618,138.62,20,138.62,660.64,0,LEFT
7626,135.02,20,135.02,663.34,-180,LEFT
7633,135.02,20,135.02,666.04,0,LEFT
7641,131.02,20,131.02,668.66,-200,LEFT
7650,131.02,20,131.02,671.28,0,LEFT
7658,126.22,20,126.22,673.8,-240,LEFT
7666,126.22,20,126.22,676.33,0,LEFT
7675,123.82,20,123.82,678.8,-120,LEFT
7682,123.82,20,123.82,681.28,0,LEFT
7690,120.62,20,120.62,683.69,-160,LEFT
7698,120.62,20,120.62,686.1,0,LEFT
7705,117.02,20,117.02,688.45,-180,LEFT
7713,117.02,20,117.02,690.79,0,LEFT
7721,113.42,20,113.42,693.05,-180,LEFT
7728,113.42,20,113.42,695.32,0,LEFT
7736,109.42,20,109.42,697.51,-200,LEFT
7745,106.22,20,106.22,699.64,-160,LEFT
7753,106.22,20,106.22,701.76,0,LEFT
7761,102.62,20,102.62,703.81,-180,LEFT
7768,102.62,20,102.62,705.86,0,LEFT
7776,99.42,20,99.42,707.85,-160,LEFT
7785,99.42,20,99.42,709.84,0,LEFT
7793,95.82,20,95.82,711.76,-180,LEFT
7800,95.82,20,95.82,713.67,0,LEFT
7808,91.82,20,91.82,715.51,-200,LEFT
7816,91.82,20,91.82,717.35,0,LEFT
7824,87.82,20,87.82,719.1,-200,LEFT
7831,87.82,20,87.82,720.86,0,LEFT
7839,84.22,20,84.22,722.54,-180,LEFT
7848,82.22,20,82.22,724.19,-100,LEFT
7856,82.22,20,82.22,725.83,0,LEFT
7863,77.42,20,77.42,727.38,-240,LEFT
7871,77.42,20,77.42,728.93,0,LEFT
7879,73.42,20,73.42,730.4,-200,LEFT
7887,73.42,20,73.42,731.87,0,LEFT
7896,71.02,20,71.02,733.29,-120,LEFT
