Time,Error,Speed,Proportional,Integral,Derivative,ID
4688,-349.42,nan,-349.42,-6.99,-inf,RIGHT
4694,-349.82,-20,-349.82,-13.98,-20,RIGHT
4700,-349.82,-20,-349.82,-20.98,0,RIGHT
4706,-349.82,-20,-349.82,-27.98,0,RIGHT
4713,-349.82,-20,-349.82,-34.97,0,RIGHT
4719,-349.82,-20,-349.82,-41.97,0,RIGHT
4725,-349.82,-20,-349.82,-48.97,0,RIGHT
4733,-349.82,-20,-349.82,-55.96,0,RIGHT
4739,-349.82,-20,-349.82,-62.96,0,RIGHT
4745,-349.82,-20,-349.82,-69.96,0,RIGHT
4751,-349.82,-20,-349.82,-76.95,0,RIGHT
4757,-349.82,-20,-349.82,-83.95,0,RIGHT
4765,-349.82,-20,-349.82,-90.95,0,RIGHT
4773,-349.82,-20,-349.82,-97.94,0,RIGHT
4779,-349.82,-20,-349.82,-104.94,0,RIGHT
4786,-349.02,-20,-349.02,-111.92,40,RIGHT
4793,-349.02,-20,-349.02,-118.9,0,RIGHT
4800,-347.42,-20,-347.42,-125.85,80,RIGHT
4806,-347.42,-20,-347.42,-132.8,0,RIGHT
4813,-345.82,-20,-345.82,-139.71,80,RIGHT
4820,-345.82,-20,-345.82,-146.63,0,RIGHT
4827,-342.62,-20,-342.62,-153.48,160,RIGHT
4833,-342.62,-20,-342.62,-160.33,0,RIGHT
4840,-339.02,-20,-339.02,-167.12,180,RIGHT
4848,-339.02,-20,-339.02,-173.9,0,RIGHT
4855,-336.22,-20,-336.22,-180.62,140,RIGHT
4862,-336.22,-20,-336.22,-187.34,0,RIGHT
4870,-333.02,-20,-333.02,-194,160,RIGHT
4877,-331.42,-20,-331.42,-200.63,80,RIGHT
4884,-331.42,-20,-331.42,-207.26,0,RIGHT
4890,-329.02,-20,-329.02,-213.84,120,RIGHT
4897,-329.02,-20,-329.02,-220.42,0,RIGHT
4904,-325.82,-20,-325.82,-226.94,160,RIGHT
4911,-325.82,-20,-325.82,-233.46,0,RIGHT
4917,-323.42,-20,-323.42,-239.92,120,RIGHT
4924,-323.42,-20,-323.42,-246.39,0,RIGHT
4931,-319.42,-20,-319.42,-252.78,200,RIGHT
4939,-319.42,-20,-319.42,-259.17,0,RIGHT
4946,-316.62,-20,-316.62,-265.5,140,RIGHT
4953,-316.62,-20,-316.62,-271.83,0,RIGHT
4961,-312.62,-20,-312.62,-278.09,200,RIGHT
4967,-312.62,-20,-312.62,-284.34,0,RIGHT
4974,-308.62,-20,-308.62,-290.51,200,RIGHT
4981,-308.62,-20,-308.62,-296.68,0,RIGHT
4988,-304.22,-20,-304.22,-302.77,220,RIGHT
4994,-304.22,-20,-304.22,-308.85,0,RIGHT
5001,-301.82,-20,-301.82,-314.89,120,RIGHT
5008,-301.82,-20,-301.82,-320.93,0,RIGHT
5015,-297.82,-20,-297.82,-326.88,200,RIGHT
5023,-297.82,-20,-297.82,-332.84,0,RIGHT
5030,-294.22,-20,-294.22,-338.72,180,RIGHT
5036,-294.22,-20,-294.22,-344.61,0,RIGHT
