Time,Error,Speed,Proportional,Integral,Derivative
9952,378.48,24.55,113.54,0,50
9975,377.68,24.55,113.3,0,-40
9998,377.48,24.55,113.24,0,-10
10024,377.48,24.55,113.24,0,0
10047,375.68,24.55,112.7,0,-90
10070,372.48,24.55,111.74,0,-160
10093,365.68,24.56,109.7,0,-340
10116,360.68,24.57,108.2,0,-250
10139,355.48,24.57,106.64,0,-260
10162,349.08,24.58,104.72,0,-320
10185,338.88,24.59,101.66,0,-510
10208,332.28,24.6,99.68,0,-330
10231,326.28,24.61,97.88,0,-300
10254,317.48,24.62,95.24,0,-440
10277,311.88,24.63,93.56,0,-280
10302,306.08,24.63,91.82,0,-290
10326,296.88,24.64,89.06,0,-460
10350,291.28,24.65,87.38,0,-280
10374,286.08,24.66,85.82,0,-260
10398,277.08,24.67,83.12,0,-450
10422,271.08,24.67,81.32,0,-300
10446,265.28,24.68,79.58,0,-290
10470,256.48,24.69,76.94,0,-440
10494,250.48,24.7,75.14,0,-300
10518,244.88,24.71,73.46,0,-280
10542,235.48,24.72,70.64,0,-470
10566,229.88,24.72,68.96,0,-280
10590,224.28,24.73,67.28,0,-280
10614,214.88,24.74,64.46,0,-470
10638,209.28,24.75,62.78,0,-280
10662,203.48,24.76,61.04,0,-290
10687,194.08,24.77,58.22,0,-470
10711,188.08,24.77,56.42,0,-300
10735,182.48,24.78,54.74,0,-280
10759,173.08,24.79,51.92,0,-470
10783,167.48,24.8,50.24,0,-280
10807,161.88,24.81,48.56,0,-280
10832,152.48,22.43,45.74,3.05,-470
10855,146.88,24.82,44.06,3.05,-280
10879,141.28,24.83,42.38,3.05,-280
10903,133.08,19.77,39.92,5.71,-410
10927,127.28,24.18,38.18,8.26,-290
10951,121.48,22.58,36.44,10.69,-290
10975,112.28,11.46,33.68,12.93,-460
10999,106.88,19.47,32.06,15.07,-270
11023,101.48,17.97,30.44,17.1,-270
11048,93.48,9.18,28.04,18.97,-400
11072,89.08,16.97,26.72,20.75,-220
11096,84.88,16.31,25.46,22.45,-210
11120,79.08,10.66,23.72,24.03,-290
11144,75.88,16.3,22.76,25.55,-160
11168,72.68,15.42,21.8,27,-160
11192,67.68,9.5,20.3,28.35,-250
11216,64.48,13.12,19.34,29.64,-160
11240,61.48,12.8,18.44,30.87,-150
11264,56.48,6.36,16.94,32,-250
11288,53.08,9.41,15.92,33.06,-170
11312,50.48,10.69,15.14,34.07,-130
11336,45.48,3.24,13.64,34.98,-250
11360,42.88,8.51,12.86,35.84,-130
11384,40.48,8.34,12.14,36.65,-120
11409,37.08,4.87,11.12,37.39,-170
11434,35.28,8.37,10.58,38.1,-90
11459,33.68,8.43,10.1,38.77,-80
11482,31.48,6.31,9.44,39.4,-110
11506,30.08,7.92,9.02,40,-70
11530,28.88,8.1,8.66,40.58,-60
11554,26.68,4.97,8,41.11,-110
11578,24.88,5.46,7.46,41.61,-90
11602,23.08,4.95,6.92,42.07,-90
11626,20.28,1.63,6.08,42.48,-140
11650,18.68,4.17,5.6,42.85,-80
11674,17.28,4.27,5.18,43.2,-70
11698,15.68,3.31,4.7,43.51,-80
11722,14.88,5.09,4.46,43.81,-40
11746,14.08,4.87,4.22,44.09,-40
11770,13.08,4.08,3.92,44.35,-50
11794,12.28,4.36,3.68,44.59,-40
11819,11.08,3.01,3.32,44.82,-60
11843,10.08,3.22,3.02,45.02,-50
11867,9.28,3.49,2.78,45.2,-40
11891,7.48,0.46,2.24,45.35,-90
11915,6.68,2.73,2,45.49,-40
11939,6.68,4.74,2,45.62,0
11963,6.48,4.19,1.94,45.75,-10
11987,6.48,4.7,1.94,45.88,0
12011,6.48,4.7,1.94,46.01,0
12036,6.08,3.59,1.82,46.13,-20
12059,5.48,2.92,1.64,46.24,-30
12083,4.28,1.06,1.28,46.33,-60
12107,3.28,1.27,0.98,46.39,-50
12131,2.68,2.09,0.8,46.44,-30
12155,1.88,1.35,0.56,46.48,-40
12179,0.68,-0.01,0.2,46.5,-60
