Time,Error,Speed,Proportional,Integral,Derivative
15679,378.48,24.55,113.54,0,50
15703,377.68,24.55,113.3,0,-40
15727,377.88,24.55,113.36,0,10
15751,377.68,24.55,113.3,0,-10
15775,375.28,24.55,112.58,0,-120
15799,371.88,24.55,111.56,0,-170
15823,364.48,24.56,109.34,0,-370
15847,360.68,24.57,108.2,0,-190
15871,355.68,24.57,106.7,0,-250
15895,344.28,24.59,103.28,0,-570
15919,337.68,24.59,101.3,0,-330
15943,331.08,24.6,99.32,0,-330
15967,321.88,24.61,96.56,0,-460
15991,316.08,24.62,94.82,0,-290
16015,310.28,24.63,93.08,0,-290
16041,300.48,24.64,90.14,0,-490
16065,295.28,24.65,88.58,0,-260
16090,287.08,24.66,86.12,0,-410
16114,281.48,24.66,84.44,0,-280
16138,275.28,24.67,82.58,0,-310
16162,266.28,24.68,79.88,0,-450
16188,260.48,24.69,78.14,0,-290
16212,251.48,24.7,75.44,0,-450
16236,245.68,24.71,73.7,0,-290
16260,240.28,24.71,72.08,0,-270
16285,230.88,24.72,69.26,0,-470
16309,225.28,24.73,67.58,0,-280
16333,219.68,24.74,65.9,0,-280
16358,210.08,24.75,63.02,0,-480
16382,204.48,24.75,61.34,0,-280
16406,195.68,24.77,58.7,0,-440
16432,189.68,24.77,56.9,0,-300
16457,181.28,24.78,54.38,0,-420
16481,175.28,24.79,52.58,0,-300
16505,169.68,24.8,50.9,0,-280
16529,161.08,24.81,48.32,0,-430
16554,155.08,24.81,46.52,0,-300
16578,146.48,22.62,43.94,2.93,-430
16602,140.88,24.83,42.26,2.93,-280
16626,135.08,24.84,40.52,2.93,-290
16651,125.28,13.41,37.58,5.44,-490
16675,119.88,22.93,35.96,7.83,-270
16699,114.08,20.33,34.22,10.11,-290
16723,106.08,12.56,31.82,12.24,-400
16748,100.88,18.12,30.26,14.25,-260
16772,93.68,11.07,28.1,16.13,-360
16798,89.48,17.42,26.84,17.92,-210
16822,83.48,11.22,25.04,19.59,-300
16847,79.68,15.67,23.9,21.18,-190
16871,76.08,15.18,22.82,22.7,-180
16895,71.08,10.27,21.32,24.12,-250
16919,67.68,13.33,20.3,25.48,-170
16944,63.08,9.03,18.92,26.74,-230
16968,59.88,11.64,17.96,27.93,-160
16992,56.68,10.75,17,29.07,-160
17016,52.08,5.93,15.62,30.11,-230
17041,49.08,9.09,14.72,31.09,-150
17065,45.28,6,13.58,32,-190
17089,43.28,9.95,12.98,32.86,-100
17113,41.48,9.96,12.44,33.69,-90
17138,38.48,6.11,11.54,34.46,-150
17163,36.88,9.17,11.06,35.2,-80
17188,34.08,5.38,10.22,35.88,-140
17213,32.28,7.37,9.68,36.53,-90
17238,29.28,3.51,8.78,37.11,-150
17263,27.28,5.44,8.18,37.66,-100
17288,24.88,3.75,7.46,38.15,-120
17313,23.48,5.86,7.04,38.62,-70
17338,22.08,5.47,6.62,39.07,-70
17363,20.28,3.95,6.08,39.47,-90
17388,19.48,6.23,5.84,39.86,-40
17413,18.28,4.9,5.48,40.23,-60
17438,17.28,5.12,5.18,40.57,-50
17463,15.68,3.16,4.7,40.88,-80
17488,14.88,4.93,4.46,41.18,-40
17513,13.28,2.47,3.98,41.45,-80
17538,12.28,3.68,3.68,41.69,-50
17564,10.48,1.16,3.14,41.9,-90
17588,9.48,2.87,2.84,42.09,-50
17613,8.28,2.02,2.48,42.26,-60
17638,7.48,2.79,2.24,42.41,-40
17662,7.28,4.24,2.18,42.55,-10
17686,6.48,2.5,1.94,42.68,-40
17711,6.08,3.39,1.82,42.8,-20
17735,5.68,3.28,1.7,42.92,-20
17759,4.68,1.48,1.4,43.01,-50
17783,4.08,2.31,1.22,43.09,-30
17808,3.08,1.01,0.92,43.15,-50
17832,2.28,1.27,0.68,43.2,-40
17856,1.88,2.16,0.56,43.24,-20
17880,1.08,0.92,0.32,43.26,-40
17905,0.88,2.36,0.26,43.28,-10
