Time,Error,Speed,Proportional,Integral,Derivative,ID
4685,349.42,nan,349.42,0,-inf,LEFT
4691,349.82,20,349.82,7,20,LEFT
4697,349.82,20,349.82,13.99,0,LEFT
4704,349.82,20,349.82,20.99,0,LEFT
4710,349.82,20,349.82,27.99,0,LEFT
4716,349.82,20,349.82,34.98,0,LEFT
4722,349.82,20,349.82,41.98,0,LEFT
4728,349.82,20,349.82,48.98,0,LEFT
4736,349.82,20,349.82,55.97,0,LEFT
4742,349.82,20,349.82,62.97,0,LEFT
4748,349.82,20,349.82,69.96,0,LEFT
4754,349.82,20,349.82,76.96,0,LEFT
4762,349.82,20,349.82,83.96,0,LEFT
4768,349.82,20,349.82,90.95,0,LEFT
4776,349.82,20,349.82,97.95,0,LEFT
4783,349.82,20,349.82,104.95,0,LEFT
4790,348.62,20,348.62,111.92,-60,LEFT
4796,348.62,20,348.62,118.89,0,LEFT
4803,347.42,20,347.42,125.84,-60,LEFT
4810,347.42,20,347.42,132.79,0,LEFT
4817,345.02,20,345.02,139.69,-120,LEFT
4823,345.02,20,345.02,146.59,0,LEFT
4830,341.42,20,341.42,153.42,-180,LEFT
4837,341.42,20,341.42,160.25,0,LEFT
4845,339.02,20,339.02,167.03,-120,LEFT
4852,335.02,20,335.02,173.73,-200,LEFT
4859,335.02,20,335.02,180.43,0,LEFT
4865,332.62,20,332.62,187.08,-120,LEFT
4874,332.62,20,332.62,193.73,0,LEFT
4880,330.22,20,330.22,200.34,-120,LEFT
4887,330.22,20,330.22,206.94,0,LEFT
4894,328.62,20,328.62,213.51,-80,LEFT
4901,328.62,20,328.62,220.09,0,LEFT
4907,325.42,20,325.42,226.6,-160,LEFT
4914,325.42,20,325.42,233.1,0,LEFT
4921,321.82,20,321.82,239.54,-180,LEFT
4928,321.82,20,321.82,245.98,0,LEFT
4936,319.02,20,319.02,252.36,-140,LEFT
4943,315.42,20,315.42,258.67,-180,LEFT
4949,315.42,20,315.42,264.97,0,LEFT
4956,311.02,20,311.02,271.19,-220,LEFT
4964,311.02,20,311.02,277.41,0,LEFT
4971,308.22,20,308.22,283.58,-140,LEFT
4978,308.22,20,308.22,289.74,0,LEFT
4984,304.62,20,304.62,295.84,-180,LEFT
4991,304.62,20,304.62,301.93,0,LEFT
4998,300.22,20,300.22,307.93,-220,LEFT
5005,300.22,20,300.22,313.94,0,LEFT
5011,296.22,20,296.22,319.86,-200,LEFT
5020,296.22,20,296.22,325.79,0,LEFT
5026,293.82,20,293.82,331.66,-120,LEFT
5033,293.82,20,293.82,337.54,0,LEFT
5040,290.22,20,290.22,343.34,-180,LEFT
5047,290.22,20,290.22,349.15,0,LEFT
5053,287.02,20,287.02,354.89,-160,LEFT
5062,287.02,20,287.02,360.63,0,LEFT
5068,284.62,20,284.62,366.32,-120,LEFT
5075,284.62,20,284.62,372.01,0,LEFT
5082,281.02,20,281.02,377.63,-180,LEFT
5089,281.02,20,281.02,383.26,0,LEFT
5095,278.62,20,278.62,388.83,-120,LEFT
5104,275.02,20,275.02,394.33,-180,LEFT
5110,275.02,20,275.02,399.83,0,LEFT
5117,272.62,20,272.62,405.28,-120,LEFT
5124,272.62,20,272.62,410.73,0,LEFT
5131,269.42,20,269.42,416.12,-160,LEFT
5137,269.42,20,269.42,421.51,0,LEFT
5144,265.82,20,265.82,426.83,-180,LEFT
5154,265.82,20,265.82,432.14,0,LEFT
5161,262.22,20,262.22,437.39,-180,LEFT
5168,262.22,20,262.22,442.63,0,LEFT
5174,259.82,20,259.82,447.83,-120,LEFT
5181,259.82,20,259.82,453.03,0,LEFT
5189,256.22,20,256.22,458.15,-180,LEFT
5196,253.82,20,253.82,463.23,-120,LEFT
5203,253.82,20,253.82,468.3,0,LEFT
5209,250.22,20,250.22,473.31,-180,LEFT
5216,250.22,20,250.22,478.31,0,LEFT
5223,246.62,20,246.62,483.24,-180,LEFT
5230,246.62,20,246.62,488.18,0,LEFT
5236,244.22,20,244.22,493.06,-120,LEFT
5243,244.22,20,244.22,497.95,0,LEFT
5251,240.62,20,240.62,502.76,-180,LEFT
5258,240.62,20,240.62,507.57,0,LEFT
5265,236.62,20,236.62,512.3,-200,LEFT
5272,236.62,20,236.62,517.04,0,LEFT
5279,233.02,20,233.02,521.7,-180,LEFT
5285,233.02,20,233.02,526.36,0,LEFT
5292,231.02,20,231.02,530.98,-100,LEFT
5298,231.02,20,231.02,535.6,0,LEFT
5304,227.42,20,227.42,540.15,-180,LEFT
5310,227.42,20,227.42,544.69,0,LEFT
5316,225.02,20,225.02,549.19,-120,LEFT
5323,225.02,20,225.02,553.69,0,LEFT
5329,221.42,20,221.42,558.12,-180,LEFT
5335,221.42,20,221.42,562.55,0,LEFT
5342,218.62,20,218.62,566.92,-140,LEFT
5348,218.62,20,218.62,571.3,0,LEFT
5354,215.02,20,215.02,575.6,-180,LEFT
