Time,Error,Speed,Proportional,Integral,Derivative
16160,-377.98,-24.55,-113.39,0,-50
16183,-377.38,-24.55,-113.21,0,30
16207,-377.38,-24.55,-113.21,0,0
16231,-377.58,-24.55,-113.27,0,-10
16255,-376.58,-24.55,-112.97,0,50
16279,-373.58,-24.55,-112.07,0,150
16303,-365.58,-24.56,-109.67,0,400
16327,-361.18,-24.57,-108.35,0,220
16351,-356.78,-24.57,-107.03,0,220
16375,-346.38,-24.58,-103.91,0,520
16399,-339.58,-24.59,-101.87,0,340
16423,-332.78,-24.6,-99.83,0,340
16447,-323.38,-24.61,-97.01,0,470
16471,-317.58,-24.62,-95.27,0,290
16497,-308.98,-24.63,-92.69,0,430
16522,-303.38,-24.64,-91.01,0,280
16547,-294.98,-24.65,-88.49,0,420
16570,-289.38,-24.65,-86.81,0,280
16594,-284.38,-24.66,-85.31,0,250
16619,-274.38,-24.67,-82.31,0,500
16643,-268.58,-24.68,-80.57,0,290
16667,-262.78,-24.68,-78.83,0,290
16691,-253.98,-24.7,-76.19,0,440
16716,-248.18,-24.7,-74.45,0,290
16741,-239.38,-24.71,-71.81,0,440
16764,-233.38,-24.72,-70.01,0,300
16788,-227.58,-24.73,-68.27,0,290
16813,-219.38,-24.74,-65.81,0,410
16838,-213.58,-24.74,-64.07,0,290
16864,-202.98,-24.76,-60.89,0,530
16889,-197.98,-24.76,-59.39,0,250
16914,-189.38,-24.77,-56.81,0,430
16938,-183.98,-24.78,-55.19,0,270
16963,-178.18,-24.79,-53.45,0,290
16988,-168.78,-24.8,-50.63,0,470
17013,-162.98,-24.8,-48.89,0,290
17038,-154.38,-25,-46.31,-3.09,430
17062,-148.58,-24.82,-44.57,-3.09,290
17087,-139.98,-20.85,-41.99,-5.89,430
17111,-133.98,-24.84,-40.19,-5.89,300
17135,-128.38,-24.85,-38.51,-5.89,280
17159,-119.58,-14.37,-35.87,-8.28,440
17184,-113.78,-20.27,-34.13,-10.55,290
17210,-104.98,-10.25,-31.49,-12.65,440
17234,-99.58,-17.25,-29.87,-14.65,270
17258,-95.18,-18.55,-28.55,-16.55,220
17283,-87.58,-8.37,-26.27,-18.3,380
17307,-83.98,-17.39,-25.19,-19.98,180
17331,-80.58,-16.97,-24.17,-21.59,170
17355,-75.38,-11,-22.61,-23.1,260
17380,-71.98,-14.57,-21.59,-24.54,170
17405,-67.38,-10.27,-20.21,-25.89,230
17428,-64.38,-13.44,-19.31,-27.17,150
17452,-61.38,-12.62,-18.41,-28.4,150
17477,-56.58,-6.75,-16.97,-29.53,240
17501,-53.98,-11.53,-16.19,-30.61,130
17525,-51.18,-10.25,-15.35,-31.64,140
17551,-46.38,-3.87,-13.91,-32.56,240
17575,-43.98,-9.2,-13.19,-33.44,120
17599,-41.38,-7.97,-12.41,-34.27,130
17623,-37.78,-4.44,-11.33,-35.03,180
17648,-35.38,-6.76,-10.61,-35.73,120
17672,-33.38,-7.2,-10.01,-36.4,100
17696,-31.18,-6.08,-9.35,-37.03,110
17720,-29.78,-7.69,-8.93,-37.62,70
17745,-28.18,-6.74,-8.45,-38.18,80
17769,-25.98,-4.62,-7.79,-38.7,110
17793,-24.78,-6.79,-7.43,-39.2,60
17817,-23.78,-7.01,-7.13,-39.68,50
17842,-21.78,-3.94,-6.53,-40.11,100
17867,-20.58,-5.6,-6.17,-40.52,60
17893,-18.58,-3.03,-5.57,-40.89,100
17917,-17.18,-4.13,-5.15,-41.24,70
17943,-15.18,-2.05,-4.55,-41.54,100
17967,-13.98,-3.7,-4.19,-41.82,60
17992,-12.58,-2.8,-3.77,-42.07,70
18017,-11.18,-2.39,-3.35,-42.3,70
18041,-10.18,-3.1,-3.05,-42.5,50
18066,-9.18,-2.81,-2.75,-42.68,50
18089,-8.78,-4.21,-2.63,-42.86,20
18113,-8.58,-4.66,-2.57,-43.03,10
18138,-7.98,-3.48,-2.39,-43.19,30
18162,-7.78,-4.43,-2.33,-43.35,10
18186,-7.18,-3.26,-2.15,-43.49,30
18210,-6.38,-2.53,-1.91,-43.62,40
18235,-5.38,-1.74,-1.61,-43.72,50
18261,-3.98,-0.32,-1.19,-43.8,70
18285,-3.38,-2.15,-1.01,-43.87,30
18310,-3.58,-4.21,-1.07,-43.94,-10
18334,-3.58,-3.71,-1.07,-44.01,0
18358,-3.58,-3.72,-1.07,-44.09,0
18382,-3.58,-3.72,-1.07,-44.16,0
18407,-3.58,-3.73,-1.07,-44.23,0
18433,-3.58,-3.73,-1.07,-44.3,0
18457,-2.98,-2.06,-0.89,-44.36,30
18481,-2.38,-1.88,-0.71,-44.41,30
18507,-1.58,-1.14,-0.47,-44.44,40
18530,-0.98,-1.46,-0.29,-44.46,30
