Time,Error,Speed,Proportional,Integral,Derivative
5671,211.55,24.87,31.73,0,50
5694,211.55,24.87,31.73,0,0
5717,211.55,24.87,31.73,0,0
5740,211.55,24.87,31.73,0,0
5763,209.95,24.87,31.49,0,-80
5786,207.15,24.88,31.07,0,-140
5809,202.75,21.73,30.41,4.06,-220
5832,197.15,18.61,29.57,8,-280
5855,186.75,7.57,28.01,11.73,-520
5878,180.55,15.14,27.08,15.34,-310
5901,174.75,15.18,26.21,18.84,-290
5924,167.35,10.97,25.1,22.19,-370
5948,163.35,17.27,24.5,25.45,-200
5971,160.15,18.48,24.02,28.66,-160
5994,155.75,15.52,23.36,31.77,-220
6019,152.75,17.96,22.91,34.83,-150
6043,149.75,17.6,22.46,37.82,-150
6067,143.95,11.21,21.59,40.7,-290
6091,139.95,14.3,20.99,43.5,-200
6115,135.95,13.78,20.39,46.22,-200
6139,129.95,8.96,19.49,48.82,-300
6163,125.95,12.43,18.89,51.34,-200
6187,122.55,13.2,18.38,53.79,-170
6211,117.75,9.75,17.66,56.14,-240
6235,115.35,14.26,17.3,58.45,-120
6259,112.75,13.53,16.91,60.71,-130
6283,108.95,10.63,16.34,62.88,-190
6307,106.15,12.27,15.92,65.01,-140
6331,103.35,11.92,15.5,67.07,-140
6355,98.75,7.68,14.81,69.05,-230
6380,95.95,10.92,14.39,70.97,-140
6404,93.35,10.99,14,72.84,-130
6428,89.55,8.07,13.43,74.63,-190
6452,87.15,10.56,13.07,76.37,-120
6476,84.55,9.82,12.68,78.06,-130
6500,80.55,6.47,12.08,79.67,-200
6523,78.35,9.79,11.75,81.24,-110
6547,76.15,9.51,11.42,82.76,-110
6571,72.95,7.07,10.94,84.22,-160
6595,70.75,8.78,10.61,85.64,-110
6618,68.55,8.49,10.28,87.01,-110
6642,65.55,6.48,9.83,88.32,-150
6666,63.75,8.65,9.56,89.59,-90
6691,60.75,5.84,9.11,90.81,-150
6715,59.15,8.43,8.87,91.99,-80
6739,57.35,7.8,8.6,93.14,-90
6764,54.55,5.41,8.18,94.23,-140
6788,53.35,8.46,8,95.3,-60
6812,51.75,7.45,7.76,96.33,-80
6836,49.35,5.52,7.4,97.32,-120
6860,47.75,6.91,7.16,98.27,-80
6884,46.35,7.13,6.95,99.2,-70
6908,43.95,4.8,6.59,100.08,-120
6932,42.15,5.75,6.32,100.92,-90
6956,40.75,6.37,6.11,101.74,-70
6980,38.75,4.89,5.81,102.51,-100
7004,37.55,6.33,5.63,103.26,-60
7028,36.55,6.6,5.48,104,-50
7052,34.35,3.89,5.15,104.68,-110
7077,33.35,6.16,5,105.35,-50
7100,31.95,5.17,4.79,105.99,-70
7124,30.15,4.12,4.52,106.59,-90
7149,28.95,5.16,4.34,107.17,-60
7172,27.75,4.99,4.16,107.73,-60
7196,25.55,2.68,3.83,108.24,-110
7220,24.55,4.94,3.68,108.73,-50
7244,23.35,4.38,3.5,109.2,-60
7267,21.55,2.92,3.23,109.63,-90
7291,20.75,4.81,3.11,110.04,-40
7315,19.75,4.28,2.96,110.44,-50
7339,18.75,4.14,2.81,110.81,-50
7363,17.95,4.43,2.69,111.17,-40
7387,17.15,4.32,2.57,111.51,-40
7411,15.35,2.06,2.3,111.82,-90
7435,14.55,3.95,2.18,112.11,-40
7458,13.95,4.26,2.09,112.39,-30
7482,12.35,2.03,1.85,112.64,-80
7506,11.55,3.52,1.73,112.87,-40
7531,10.35,2.55,1.55,113.08,-60
7555,9.55,3.23,1.43,113.27,-40
7580,8.95,3.55,1.34,113.45,-30
7603,7.95,2.6,1.19,113.61,-50
7627,7.55,3.75,1.13,113.76,-20
7651,7.15,3.69,1.07,113.9,-20
7675,6.15,2.34,0.92,114.02,-50
7699,5.35,2.63,0.8,114.13,-40
7723,4.55,2.51,0.68,114.22,-40
7747,3.75,2.39,0.56,114.3,-40
7771,3.15,2.7,0.47,114.36,-30
7795,2.75,3.05,0.41,114.41,-20
7819,1.95,2.13,0.29,114.45,-40
7843,1.35,2.44,0.2,114.48,-30
7867,1.15,3.21,0.17,114.5,-10
7891,-0.25,0.6,-0.04,114.5,-70
