Time,Error,Speed,Proportional,Integral,Derivative
655,846.21,39.49,126.93,0,50
678,846.21,39.49,126.93,0,0
703,846.21,39.49,126.93,0,0
726,845.81,39.49,126.87,0,-20
749,843.01,39.49,126.45,0,-140
772,838.01,39.5,125.7,0,-250
795,825.81,39.5,123.87,0,-610
818,817.41,39.51,122.61,0,-420
841,809.21,39.51,121.38,0,-410
867,792.21,39.52,118.83,0,-850
890,781.41,39.53,117.21,0,-540
913,771.01,39.54,115.65,0,-520
937,761.01,39.54,114.15,0,-500
960,745.81,39.55,111.87,0,-760
983,736.61,39.56,110.49,0,-460
1006,727.61,39.56,109.14,0,-450
1031,713.81,39.57,107.07,0,-690
1055,704.21,39.58,105.63,0,-480
1079,694.61,39.58,104.19,0,-480
1103,679.21,39.59,101.88,0,-770
1127,669.81,39.6,100.47,0,-470
1151,660.61,39.6,99.09,0,-460
1175,646.81,39.61,97.02,0,-690
1199,637.21,39.62,95.58,0,-480
1223,628.01,39.62,94.2,0,-460
1247,611.81,39.63,91.77,0,-810
1271,602.61,39.64,90.39,0,-460
1295,593.21,39.64,88.98,0,-470
1319,579.21,39.65,86.88,0,-700
1343,570.21,39.66,85.53,0,-450
1367,561.01,39.66,84.15,0,-460
1391,546.21,39.67,81.93,0,-740
1416,536.61,39.68,80.49,0,-480
1440,527.21,39.68,79.08,0,-470
1464,511.61,39.69,76.74,0,-780
1489,502.21,39.7,75.33,0,-470
1512,492.61,39.7,73.89,0,-480
1536,478.61,39.71,71.79,0,-700
1560,469.21,39.72,70.38,0,-470
1584,459.81,39.72,68.97,0,-470
1608,443.41,33.98,66.51,8.87,-820
1632,434.21,39.74,65.13,8.87,-460
1656,424.81,39.75,63.72,8.87,-470
1680,410.81,34.13,61.62,17.08,-700
1704,401.41,39.76,60.21,17.08,-470
1728,392.61,39.76,58.89,17.08,-440
1752,378.21,28.67,56.73,24.65,-720
1776,369.41,38.77,55.41,32.04,-440
1801,357.01,29.93,53.55,39.18,-620
1825,348.01,35.59,52.2,46.14,-450
1849,339.41,35.3,50.91,52.93,-430
1873,327.21,26.47,49.08,59.47,-610
1897,319.01,33.43,47.85,65.85,-410
1921,311.41,33.67,46.71,72.08,-380
1945,297.61,19.38,44.64,78.03,-690
1969,289.81,30.39,43.47,83.83,-390
1993,282.21,29.82,42.33,89.47,-380
2017,270.81,20.67,40.62,94.89,-570
2041,263.81,28.58,39.57,100.16,-350
2066,257.41,28.97,38.61,105.31,-320
2089,247.61,20.85,37.14,110.26,-490
2113,241.41,27.26,36.21,115.09,-310
2137,236.01,28.2,35.4,119.81,-270
2160,225.01,15.48,33.75,124.31,-550
2184,219.01,24.71,32.85,128.69,-300
2208,212.81,23.51,31.92,132.95,-310
2232,204.21,17.54,30.63,137.03,-430
2256,198.61,22.82,29.79,141.01,-280
2280,193.01,22.1,28.95,144.87,-280
2304,185.41,17.07,27.81,148.58,-380
2328,180.41,21.63,27.06,152.18,-250
2352,174.81,19.69,26.22,155.68,-280
2376,166.81,13.79,25.02,159.02,-400
2400,162.21,20,24.33,162.26,-230
2424,157.61,19.4,23.64,165.41,-230
2448,150.81,14.07,22.62,168.43,-340
2472,146.61,18.73,21.99,171.36,-210
2497,140.41,13.89,21.06,174.17,-310
2521,136.61,18.2,20.49,176.9,-190
2545,132.61,17.28,19.89,179.55,-200
2569,126.21,11.59,18.93,182.08,-320
2593,122.81,17.16,18.42,184.54,-170
2618,118.61,15,17.79,186.91,-210
2641,112.41,10.14,16.86,189.16,-310
2665,108.81,14.86,16.32,191.33,-180
2689,105.41,14.82,15.81,193.44,-170
2713,100.01,10.07,15,195.44,-270
2737,96.81,14.04,14.52,197.38,-160
2761,93.81,14.05,14.07,199.25,-150
2785,89.01,9.78,13.35,201.03,-240
2809,86.21,13.41,12.93,202.76,-140
2833,82.81,11.75,12.42,204.41,-170
2856,77.81,7.85,11.67,205.97,-250
2880,74.81,11.45,11.22,207.47,-150
2904,72.01,11.47,10.8,208.91,-140
2927,68.01,8.51,10.2,210.27,-200
2951,65.41,10.96,9.81,211.58,-130
2975,63.01,11.04,9.45,212.84,-120
2999,59.21,7.7,8.88,214.02,-190
3023,56.81,10.18,8.52,215.16,-120
3047,54.41,9.85,8.16,216.24,-120
3071,51.21,7.8,7.68,217.27,-160
3095,49.01,9.5,7.35,218.25,-110
3120,46.61,8.77,6.99,219.18,-120
3143,43.21,6.28,6.48,220.05,-170
3167,41.01,8.38,6.15,220.87,-110
3191,39.21,8.93,5.88,221.65,-90
3215,36.01,5.67,5.4,222.37,-160
3238,34.41,8.65,5.16,223.06,-80
3261,32.41,7.57,4.86,223.71,-100
3284,30.81,8.15,4.62,224.32,-80
3307,28.41,6.21,4.26,224.89,-120
3330,26.61,7.15,3.99,225.42,-90
3353,25.01,7.33,3.75,225.92,-80
3376,23.41,7.1,3.51,226.39,-80
3399,20.61,4.3,3.09,226.8,-140
3422,18.81,6.04,2.82,227.18,-90
3445,17.01,5.78,2.55,227.52,-90
3468,14.81,4.66,2.22,227.82,-110
3491,13.61,6.48,2.04,228.09,-60
3514,12.21,5.88,1.83,228.33,-70
3537,11.21,6.54,1.68,228.56,-50
3560,9.21,4.24,1.38,228.74,-100
3584,8.01,5.67,1.2,228.9,-60
3607,6.61,5.06,0.99,229.04,-70
3630,5.01,4.43,0.75,229.14,-80
3653,3.41,4.19,0.51,229.2,-80
3676,2.41,5.24,0.36,229.25,-50
3699,0.81,3.8,0.12,229.27,-80
