Time,Error,Speed,Proportional,Integral,Derivative
12274,-1480.88,-49.11,-222.13,0,-50
12299,-1481.48,-49.11,-222.22,0,-30
12322,-1481.48,-49.11,-222.22,0,0
12346,-1480.28,-49.11,-222.04,0,60
12370,-1476.88,-49.11,-221.53,0,170
12394,-1470.48,-49.12,-220.57,0,320
12418,-1452.68,-49.13,-217.9,0,890
12442,-1443.88,-49.13,-216.58,0,440
12466,-1433.28,-49.14,-214.99,0,530
12490,-1412.28,-49.15,-211.84,0,1050
12516,-1397.88,-49.16,-209.68,0,720
12540,-1378.28,-49.17,-206.74,0,980
12564,-1366.08,-49.18,-204.91,0,610
12590,-1349.28,-49.19,-202.39,0,840
12614,-1337.88,-49.2,-200.68,0,570
12640,-1320.28,-49.21,-198.04,0,880
12663,-1308.48,-49.21,-196.27,0,590
12687,-1296.48,-49.22,-194.47,0,600
12711,-1278.68,-49.23,-191.8,0,890
12736,-1266.88,-49.24,-190.03,0,590
12760,-1255.68,-49.25,-188.35,0,560
12784,-1235.08,-49.26,-185.26,0,1030
12808,-1223.28,-49.27,-183.49,0,590
12833,-1211.48,-49.27,-181.72,0,590
12857,-1194.08,-49.28,-179.11,0,870
12881,-1182.28,-49.29,-177.34,0,590
12905,-1170.88,-49.3,-175.63,0,570
12930,-1150.68,-49.31,-172.6,0,1010
12956,-1139.68,-49.32,-170.95,0,550
12980,-1122.08,-49.33,-168.31,0,880
13004,-1109.68,-49.33,-166.45,0,620
13029,-1097.68,-49.34,-164.65,0,600
13053,-1078.08,-49.35,-161.71,0,980
13078,-1065.88,-49.36,-159.88,0,610
13103,-1048.28,-49.37,-157.24,0,880
13128,-1036.68,-49.38,-155.5,0,580
13153,-1019.08,-49.39,-152.86,0,880
13178,-1007.08,-49.4,-151.06,0,600
13203,-995.28,-49.4,-149.29,0,590
13228,-976.48,-49.41,-146.47,0,940
13252,-964.68,-49.42,-144.7,0,590
13277,-947.08,-49.43,-142.06,0,880
13302,-935.28,-49.44,-140.29,0,590
13327,-917.68,-49.45,-137.65,0,880
13350,-906.08,-49.46,-135.91,0,580
13374,-894.28,-49.46,-134.14,0,590
13399,-875.28,-49.47,-131.29,0,950
13423,-863.48,-49.48,-129.52,0,590
13447,-851.88,-49.49,-127.78,0,580
13471,-832.88,-49.5,-124.93,0,950
13496,-820.88,-49.51,-123.13,0,600
13520,-809.28,-49.51,-121.39,0,580
13544,-789.88,-49.53,-118.48,0,970
13568,-778.08,-49.53,-116.71,0,590
13594,-760.48,-49.54,-114.07,0,880
13617,-748.68,-49.55,-112.3,0,590
13641,-736.88,-49.56,-110.53,0,590
13667,-717.68,-49.57,-107.65,0,960
13692,-705.88,-49.58,-105.88,0,590
13716,-694.08,-49.58,-104.11,0,590
13740,-675.08,-49.59,-101.26,0,950
13764,-663.48,-49.6,-99.52,0,580
13790,-645.88,-49.61,-96.88,0,880
13813,-633.88,-49.62,-95.08,0,600
13837,-622.28,-49.63,-93.34,0,580
13861,-603.28,-49.64,-90.49,0,950
13886,-591.68,-49.64,-88.75,0,580
13910,-579.88,-49.65,-86.98,0,590
13934,-560.88,-46.47,-84.13,-11.22,950
13958,-549.08,-49.67,-82.36,-11.22,590
13984,-531.28,-44.75,-79.69,-21.84,890
14009,-519.68,-49.69,-77.95,-21.84,580
14034,-502.28,-41.5,-75.34,-31.89,870
14058,-490.88,-49.71,-73.63,-31.89,570
14083,-479.88,-49.71,-71.98,-31.89,550
14108,-462.08,-34.95,-69.31,-41.13,890
14133,-451.08,-47.17,-67.66,-50.15,550
14158,-434.48,-33.74,-65.17,-58.84,830
