Time,Error,Speed,Proportional,Integral,Derivative
9718,423.11,29.75,63.47,0,50
9741,423.11,29.75,63.47,0,0
9764,423.11,29.75,63.47,0,0
9787,422.91,29.75,63.44,0,-10
9810,421.31,29.75,63.2,0,-80
9833,418.31,29.75,62.75,0,-150
9856,413.31,29.75,62,0,-250
9879,402.51,29.76,60.38,0,-540
9902,394.71,29.76,59.21,0,-390
9925,387.11,29.77,58.07,0,-380
9948,375.91,29.77,56.39,0,-560
9971,368.71,29.78,55.31,0,-360
9995,361.51,29.78,54.23,0,-360
10018,354.51,29.79,53.18,0,-350
10041,342.91,28.44,51.44,6.86,-580
10064,335.91,29.8,50.39,6.86,-350
10089,328.91,29.8,49.34,6.86,-350
10113,317.71,25.65,47.66,13.21,-560
10137,310.71,29.81,46.61,13.21,-350
10161,303.91,29.82,45.59,13.21,-340
10185,292.91,22.51,43.94,19.07,-550
10209,286.11,29.83,42.92,19.07,-340
10233,279.51,29.47,41.93,24.66,-330
10257,268.71,19.61,40.31,30.03,-540
10281,262.31,27.6,39.35,35.28,-320
10305,256.11,27.23,38.42,40.4,-310
10329,246.91,20,37.04,45.34,-460
10353,240.71,25.21,36.11,50.16,-310
10377,234.91,25.28,35.24,54.85,-290
10401,225.31,16.38,33.8,59.36,-480
10426,219.71,23.67,32.96,63.75,-280
10450,211.51,17.37,31.73,67.98,-410
10474,206.11,22.28,30.92,72.11,-270
10498,200.51,21.16,30.08,76.12,-280
10522,192.51,15.28,28.88,79.97,-400
10547,187.71,21.07,28.16,83.72,-240
10570,183.31,21.32,27.5,87.39,-220
10594,176.51,15.6,26.48,90.92,-340
10618,171.91,19.42,25.79,94.35,-230
10642,167.11,18.4,25.07,97.7,-240
10666,160.11,13.04,24.02,100.9,-350
10690,155.51,17.25,23.33,104.01,-230
10714,151.11,17.08,22.67,107.03,-220
10738,143.71,10.05,21.56,109.91,-370
10763,140.11,17.2,21.02,112.71,-180
10787,136.11,15.88,20.42,115.43,-200
10811,130.31,11.49,19.55,118.04,-290
10835,126.71,15.42,19.01,120.57,-180
10859,123.31,15.39,18.5,123.04,-170
10883,117.51,9.79,17.63,125.39,-290
10907,114.31,14.58,17.15,127.67,-160
10931,110.91,13.73,16.64,129.89,-170
10955,106.31,10.71,15.95,132.02,-230
10979,103.11,13.09,15.47,134.08,-160
11003,99.91,12.67,14.99,136.08,-160
11027,95.31,9.24,14.3,137.98,-230
11051,92.71,12.9,13.91,139.84,-130
11075,89.91,12.14,13.49,141.64,-140
11100,85.51,8.33,12.83,143.35,-220
11125,82.71,11.16,12.41,145,-140
11150,78.71,8.2,11.81,146.57,-200
11173,76.11,10.66,11.42,148.1,-130
11197,73.51,10.31,11.03,149.57,-130
11221,69.71,7.38,10.46,150.96,-190
11245,67.31,9.87,10.1,152.31,-120
11269,64.91,9.54,9.74,153.6,-120
11293,61.11,6.21,9.17,154.83,-190
11317,59.11,9.55,8.87,156.01,-100
11341,56.71,8.42,8.51,157.14,-120
11365,53.71,6.8,8.06,158.22,-150
11389,51.91,8.96,7.79,159.26,-90
11413,49.91,8.29,7.49,160.25,-100
11437,47.31,6.73,7.1,161.2,-130
11461,45.31,7.66,6.8,162.11,-100
11486,43.71,8.25,6.56,162.98,-80
11510,40.51,4.59,6.08,163.79,-160
11534,38.91,7.57,5.84,164.57,-80
11558,37.31,7.36,5.6,165.31,-80
11582,34.91,5.42,5.24,166.01,-120
11606,33.11,6.37,4.97,166.67,-90
11630,31.91,7.41,4.79,167.31,-60
11654,29.51,4.66,4.43,167.9,-120
11678,27.91,6.04,4.19,168.46,-80
11702,26.71,6.68,4.01,169,-60
11726,24.91,5.22,3.74,169.49,-90
11750,23.51,5.83,3.53,169.96,-70
11774,22.31,6.06,3.35,170.41,-60
11798,20.11,3.74,3.02,170.81,-110
11822,18.71,5.14,2.81,171.19,-70
11847,16.71,3.65,2.51,171.52,-100
11871,15.31,4.65,2.3,171.83,-70
11895,14.11,4.88,2.12,172.11,-60
11919,12.31,3.42,1.85,172.35,-90
11943,11.31,4.87,1.7,172.58,-50
11967,10.51,5.16,1.58,172.79,-40
11991,8.91,3.33,1.34,172.97,-80
12015,8.11,4.81,1.22,173.13,-40
12039,7.31,4.69,1.1,173.28,-40
12063,5.91,3.29,0.89,173.4,-70
12087,5.11,4.37,0.77,173.5,-40
12111,3.91,3.39,0.59,173.58,-60
12135,2.71,3.22,0.41,173.63,-60
12159,1.71,3.47,0.26,173.66,-50
12183,0.91,3.75,0.14,173.68,-40
