Time,Error,Speed,Proportional,Integral,Derivative
3790,188.99,24.77,56.7,0,50
3813,188.39,24.77,56.52,0,-30
3836,188.39,24.77,56.52,0,0
3859,187.99,24.77,56.4,0,-20
3882,185.99,24.78,55.8,0,-100
3905,182.79,24.78,54.84,0,-160
3928,178.19,24.79,53.46,0,-230
3951,170.99,24.79,51.3,0,-360
3974,166.19,24.8,49.86,0,-240
3997,159.59,24.81,47.88,0,-330
4020,149.59,20.06,44.88,2.99,-500
4043,142.79,24.83,42.84,2.99,-340
4067,136.79,24.84,41.04,2.99,-300
4090,128.19,17.29,38.46,5.56,-430
4113,122.79,23.82,36.84,8.01,-270
4138,117.79,23.46,35.34,10.37,-250
4162,109.99,14.25,33,12.57,-390
4186,104.99,19.88,31.5,14.67,-250
4210,99.99,18.5,30,16.67,-250
4234,92.99,11.51,27.9,18.53,-350
4258,88.39,16.23,26.52,20.29,-230
4282,83.79,14.95,25.14,21.97,-230
4306,76.39,5.83,22.92,23.5,-370
4330,72.99,14.89,21.9,24.96,-170
4354,69.39,13.4,20.82,26.35,-180
4378,64.19,7.91,19.26,27.63,-260
4402,61.39,13.15,18.42,28.86,-140
4426,58.79,12.94,17.64,30.03,-130
4450,55.19,9.43,16.56,31.14,-180
4474,52.59,11.21,15.78,32.19,-130
4498,50.19,11.05,15.06,33.19,-120
4523,45.59,4.22,13.68,34.1,-230
4547,43.19,9.05,12.96,34.97,-120
4571,40.59,7.82,12.18,35.78,-130
4595,36.99,4.29,11.1,36.52,-180
4619,34.59,6.61,10.38,37.21,-120
4643,32.59,7.05,9.78,37.86,-100
4667,29.39,3.12,8.82,38.45,-160
4691,27.79,6.68,8.34,39.01,-80
4715,26.59,7.35,7.98,39.54,-60
4739,24.79,5.34,7.44,40.03,-90
4763,23.99,7.63,7.2,40.51,-40
4787,22.99,6.86,6.9,40.97,-50
4811,21.39,4.9,6.42,41.4,-80
4835,19.99,5,6,41.8,-70
4859,18.59,4.61,5.58,42.17,-70
4883,15.79,0.29,4.74,42.49,-140
4908,14.59,3.94,4.38,42.78,-60
4932,14.79,7.52,4.44,43.08,10
4956,14.79,7.04,4.44,43.37,0
4980,14.79,7.06,4.44,43.67,0
5004,14.59,6.51,4.38,43.96,-10
5028,13.39,3.67,4.02,44.23,-60
5052,11.99,2.76,3.6,44.47,-70
5076,10.39,1.8,3.12,44.67,-80
5100,8.59,0.77,2.58,44.85,-90
5124,7.99,3.6,2.4,45.01,-30
5148,8.19,5.67,2.46,45.17,10
5172,7.99,4.62,2.4,45.33,-10
5197,7.99,5.13,2.4,45.49,0
5220,7.99,5.14,2.4,45.65,0
5244,7.79,4.59,2.34,45.81,-10
5268,6.79,2.29,2.04,45.94,-50
5292,5.99,2.56,1.8,46.06,-40
5316,4.39,0.09,1.32,46.15,-80
5341,3.99,2.97,1.2,46.23,-20
5365,3.99,3.98,1.2,46.31,0
5389,3.99,3.98,1.2,46.39,0
5413,3.99,3.98,1.2,46.47,0
5437,3.99,3.99,1.2,46.55,0
5461,3.79,3.43,1.14,46.62,-10
5485,3.59,3.38,1.08,46.7,-10
5509,2.99,2.2,0.9,46.76,-30
5533,2.59,2.59,0.78,46.81,-20
5557,1.59,0.79,0.48,46.84,-50
5581,0.99,1.61,0.3,46.86,-30
